Experiment:, 100% SOC
Start date:, Wednesday, June 19, 2024
Start time:, 11:24:58 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 2.624672, -0.0244568, , -0.0244568, 100000, -0.005367484, -6.931977e-05, -0.09960214, 0.02553517, 0.05039831, 0.01361667, 0.0522054, 15.11924, 0, 1
1, 2.624672, -0.0244568, , -0.0244568, 79432.82, -0.003506232, 0.003496394, -0.05661268, 0.07759991, 0.05091907, 0.008035664, 0.05154923, 8.968027, 0, 1
1, 2.624672, -0.0244568, , -0.0244568, 63095.73, -0.0001338367, -0.004664073, -0.007890044, -0.08970851, 0.05172253, 0.003057194, 0.05181281, 3.38268, 0, 1
1, 2.624672, -0.0244568, , -0.0244568, 50118.72, 0.003626416, -0.002711917, 0.06994119, -0.04926927, 0.05290856, -0.00150341, 0.05292992, -1.627636, 0, 1
2, 2.625471, -0.001007223, , -0.02546403, 39810.71, 0.002262268, -0.003950248, 0.04842975, -0.06727046, 0.05462224, -0.005694528, 0.05491828, -5.951752, 0, 1
2, 2.625471, -0.001007223, , -0.02546403, 31622.77, -0.004462867, 0.001588181, -0.08081137, 0.01440899, 0.0569203, -0.009503826, 0.05770826, -9.479079, 0, 1
2, 2.625471, -0.001007223, , -0.02546403, 25118.86, -0.001401509, -0.004906157, -0.00549058, -0.08332571, 0.05972823, -0.01288397, 0.06110203, -12.17275, 0, 1
2, 2.625471, -0.001007223, , -0.02546403, 19952.62, -0.00187525, -0.005190403, -0.008408275, -0.0842413, 0.06320569, -0.01595179, 0.06518757, -14.16446, 0, 1
3, 2.627069, 0.0246383, , -0.0008257247, 15848.93, -0.001892508, 0.005514266, -0.04666241, 0.06902023, 0.06755413, -0.01825161, 0.06997629, -15.11905, 0, 1
3, 2.627069, 0.0246383, , -0.0008257247, 12589.25, -0.004936733, 0.003635781, -0.0763224, 0.02985216, 0.07226034, -0.01937379, 0.07481244, -15.00865, 0, 1
