# freq,Re(Z),Im(Z)
5.011872000000000116e+04,5.767855779056519500e-02,-9.495124079642702775e-03
3.981070999999999913e+04,5.872816852660555503e-02,-1.162019007633569197e-02
3.162277000000000044e+04,6.027012831197958026e-02,-1.406818824796852649e-02
2.511886000000000058e+04,6.248184827038276434e-02,-1.675563525732479825e-02
1.995261999999999898e+04,6.553449462559800265e-02,-1.949124480899089296e-02
1.584893000000000029e+04,6.951955936245618473e-02,-2.195813135774574154e-02
1.258925000000000000e+04,7.435129229433280751e-02,-2.375702081980334696e-02
9.999996999999999389e+03,7.970737664140044310e-02,-2.453519070206970631e-02
7.943279999999999745e+03,8.508809160672864413e-02,-2.415028932706015513e-02
6.309570999999999913e+03,8.999386181165833221e-02,-2.274788068143972219e-02
5.011871000000000095e+03,9.410255669421901947e-02,-2.068380068094205146e-02
3.981070000000000164e+03,9.732835447679352714e-02,-1.836080518009494678e-02
3.162275999999999840e+03,9.976268998196580196e-02,-1.610026345867417857e-02
2.511885000000000218e+03,1.015773269893273101e-01,-1.409914317830007410e-02
1.995260999999999967e+03,1.029514006746787558e-01,-1.244758936960215640e-02
1.584892000000000053e+03,1.040364424596931237e-01,-1.116606672787932505e-02
1.258924999999999955e+03,1.049479659690949057e-01,-1.023816348173837466e-02
9.999994000000000369e+02,1.057695437422721124e-01,-9.632422605359559215e-03
7.943277000000000498e+02,1.065605010226948340e-01,-9.314668721286625819e-03
6.309569000000000187e+02,1.073633035546970454e-01,-9.254040802166067781e-03
5.011868999999999801e+02,1.082093678410978727e-01,-9.425478019518799058e-03
3.981068999999999960e+02,1.091232667165602521e-01,-9.810380449948745418e-03
3.162275000000000205e+02,1.101256448605146265e-01,-1.039644151253705899e-02
2.511884000000000015e+02,1.112352092868270359e-01,-1.117717078070230158e-02
1.995261000000000138e+02,1.124700958310245330e-01,-1.215136328444813875e-02
1.584892000000000110e+02,1.138488384857813812e-01,-1.332263769419056963e-02
1.258923999999999950e+02,1.153910645855307504e-01,-1.469906448293472299e-02
9.999990999999999985e+01,1.171180474792538617e-01,-1.629291594517623051e-02
7.943274999999999864e+01,1.190531812670928280e-01,-1.812055225706075620e-02
6.309566999999999837e+01,1.212224124383311924e-01,-2.020244212591329469e-02
5.011867000000000161e+01,1.236549243247472840e-01,-2.256310208354914484e-02
3.981067999999999785e+01,1.263830449706985493e-01,-2.523030569726323474e-02
3.162274000000000029e+01,1.294395803787974919e-01,-2.823650262998392627e-02
2.511883999999999872e+01,1.328589636365582194e-01,-3.162772407464256585e-02
1.995260000000000034e+01,1.366959721995861521e-01,-3.546991334832800408e-02
1.584891000000000005e+01,1.410529428890013315e-01,-3.982415910618745947e-02
1.258924000000000021e+01,1.460704306786509699e-01,-4.468542949423625482e-02
9.999988000000000099e+00,1.518439790446704518e-01,-4.993520412436956712e-02
7.943272000000000332e+00,1.582942750055750802e-01,-5.538437135947679724e-02
6.309565000000000090e+00,1.650896643220630122e-01,-6.093485161945652595e-02
5.011866000000000376e+00,1.717191378875624896e-01,-6.677880129625009265e-02
3.981066000000000216e+00,1.776957175747165274e-01,-7.348714152968986724e-02
3.162272999999999890e+00,1.827406269757865798e-01,-8.192708881028124002e-02
2.511883000000000088e+00,1.868270223142501629e-01,-9.310665062648926238e-02
1.995258999999999894e+00,1.901027951454385967e-01,-1.080784561092864443e-01
1.584891000000000050e+00,1.927849342655887921e-01,-1.279456112021570002e-01
1.258923999999999932e+00,1.950864996563065612e-01,-1.539374234780757633e-01
9.999980000000000535e-01,1.971848856927854443e-01,-1.875130125972172546e-01
7.943270000000000053e-01,1.992167618301803611e-01,-2.304725242400518515e-01
6.309559999999999613e-01,2.012847328564281724e-01,-2.850777820837749887e-01
5.011860000000000204e-01,2.034666422749864534e-01,-3.541851128726670184e-01
3.981060000000000154e-01,2.058240848113224164e-01,-4.414058531899808790e-01
3.162269999999999803e-01,2.084089313665227761e-01,-5.513010771275848043e-01
2.511880000000000224e-01,2.112681297463230579e-01,-6.896276858483438854e-01
1.995260000000000089e-01,2.144469932460837946e-01,-8.636413061843697392e-01
1.584889999999999910e-01,2.179917325039149034e-01,-1.082488887402009548e+00
1.258920000000000039e-01,2.219510848601667918e-01,-1.357687241150037583e+00
1.000000000000000056e-01,2.263776000388064147e-01,-1.703724898979509961e+00
