Experiment:, 60% SOC
Start date:, Thursday, June 20, 2024
Start time:, 2:23:00 AM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 1.60089, 0.006223717, , 0.006223717, 100000, -5.032783e-05, -0.001381735, -0.007528135, -0.02537478, 0.0505888, 0.0130252, 0.05223871, 14.43846, 1, 1
1, 1.60089, 0.006223717, , 0.006223717, 79432.82, -0.0007700035, -0.000999659, -0.01750964, -0.01705357, 0.05110418, 0.00731884, 0.0516256, 8.150146, 1, 1
1, 1.60089, 0.006223717, , 0.006223717, 63095.73, 0.0007573009, 0.0009114031, 0.01527254, 0.01688122, 0.05200724, 0.002190699, 0.05205336, 2.412042, 1, 1
1, 1.60089, 0.006223717, , 0.006223717, 50118.72, 0.0003959931, -0.00108121, 0.008377143, -0.01988925, 0.05329316, -0.002536613, 0.0533535, -2.72507, 1, 1
2, 1.608371, -0.00064646, , 0.005577257, 39810.71, -0.001124631, 0.0002914109, -0.02072876, 0.002673127, 0.05515039, -0.006946235, 0.05558611, -7.178648, 1, 1
2, 1.608371, -0.00064646, , 0.005577257, 31622.77, 0.001109719, 0.0004936298, 0.01699358, 0.01181377, 0.05763958, -0.01102243, 0.05868403, -10.82599, 1, 1
2, 1.608371, -0.00064646, , 0.005577257, 25118.86, 0.001239265, 0.0004345844, 0.01764442, 0.01142356, 0.06072703, -0.01468648, 0.06247772, -13.5956, 1, 1
2, 1.608371, -0.00064646, , 0.005577257, 19952.62, -0.0001885575, -0.001413153, 0.002963424, -0.0210432, 0.06461161, -0.01805948, 0.06708803, -15.61611, 1, 1
3, 1.607903, -0.006842168, , -0.001264911, 15848.93, 3.834278e-05, 0.001514942, -0.005441106, 0.02019173, 0.06947143, -0.02061954, 0.07246685, -16.5312, 1, 1
3, 1.607903, -0.006842168, , -0.001264911, 12589.25, 0.0009006572, 0.001325993, 0.006313235, 0.01958788, 0.07474926, -0.02188841, 0.07788809, -16.32132, 1, 1
3, 1.607903, -0.006842168, , -0.001264911, 9999.997, -0.001671006, -0.0002454804, -0.01865105, -0.008188779, 0.07995852, -0.0219442, 0.0829151, -15.34667, 1, 1
4, 1.608371, -0.0006621453, , -0.001927057, 7943.28, 0.000537267, 0.001682887, 0.00132948, 0.02020529, 0.08467245, -0.02101908, 0.08724234, -13.94129, 1, 1
4, 1.608371, -0.0006621453, , -0.001927057, 6309.571, 0.001786797, -0.000396173, 0.02017402, -4.326814e-05, 0.0886109, -0.01944773, 0.09071993, -12.37863, 1, 1
4, 1.608371, -0.0006621453, , -0.001927057, 5011.871, 0.001603741, 0.00098414, 0.01485927, 0.01356566, 0.09184444, -0.01761797, 0.09351895, -10.8588, 1, 1
4, 1.608371, -0.0006621453, , -0.001927057, 3981.07, -0.001920975, -8.775565e-05, -0.01964211, -0.004226927, 0.0943891, -0.01584454, 0.09570973, -9.529061, 1, 1
4, 1.608371, -0.0006621453, , -0.001927057, 3162.276, 0.000460524, -0.001899153, 0.007532122, -0.01860706, 0.09630435, -0.01423396, 0.09735057, -8.407553, 1, 1
5, 1.608371, -0.001446412, , -0.003373469, 2511.885, 2.422295e-05, -0.001980499, 0.002832833, -0.01985624, 0.09792284, -0.01275046, 0.09874946, -7.4187, 1, 1
5, 1.608371, -0.001446412, , -0.003373469, 1995.261, -0.001402722, 0.001430866, -0.01560783, 0.01258773, 0.09925202, -0.01162934, 0.099931, -6.682866, 1, 1
5, 1.608371, -0.001446412, , -0.003373469, 1584.892, 0.0009970417, 0.001760297, 0.007959012, 0.0184004, 0.1003324, -0.01078755, 0.1009106, -6.136762, 1, 1
5, 1.608371, -0.001446412, , -0.003373469, 1258.925, -0.001740619, -0.001069434, -0.0159344, -0.012153, 0.1014255, -0.01024142, 0.1019413, -5.765885, 1, 1
6, 1.608371, -0.00229342, , -0.005666889, 999.9994, -0.0007767602, -0.001909312, -0.005739887, -0.01919931, 0.1023907, -0.009846671, 0.1028631, -5.493107, 1, 1
6, 1.608371, -0.00229342, , -0.005666889, 794.3277, 0.0011939, 0.001704537, 0.009910619, 0.0174178, 0.1033903, -0.009716373, 0.1038459, -5.368751, 1, 1
6, 1.608371, -0.00229342, , -0.005666889, 630.9569, 0.001654924, -0.001294269, 0.01686265, -0.01081813, 0.1044095, -0.009770324, 0.1048657, -5.345997, 1, 1
6, 1.608371, -0.00229342, , -0.005666889, 501.1869, 0.0005314158, 0.002055712, 0.003161762, 0.01978386, 0.1055066, -0.009999515, 0.1059794, -5.414104, 1, 1
6, 1.608371, -0.00229342, , -0.005666889, 398.1069, 0.001326685, 0.001683208, 0.01081336, 0.01686798, 0.1064577, -0.01040547, 0.106965, -5.582511, 1, 1
6, 1.608371, -0.00229342, , -0.005666889, 316.2275, -0.001207015, -0.001800448, -0.009413539, -0.01768327, 0.107647, -0.01095253, 0.1082027, -5.809561, 1, 1
6, 1.608371, -0.00229342, , -0.005666889, 251.1884, 0.001918217, -0.001068151, 0.01844309, -0.00782678, 0.1089621, -0.0116753, 0.1095858, -6.115919, 1, 1
