Experiment:, Experiment 1
Start date:, Thursday, June 13, 2024
Start time:, 12:02:28 AM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.01659906, -0.001125948, , -0.001125948, 100000, 7.484252e-05, -0.0002725645, -0.00143689, -0.001696717, 0.07179613, 0.1049118, 0.1271266, 55.61432, 2, 2
1, 0.01659906, -0.001125948, , -0.001125948, 79432.82, -0.0001964025, 0.000249768, 0.000575654, 0.002891814, 0.07007419, 0.08186592, 0.1077609, 49.4377, 2, 2
1, 0.01659906, -0.001125948, , -0.001125948, 63095.73, 0.000160843, -0.0003229027, -0.001045718, -0.003718071, 0.06920552, 0.06272404, 0.0934008, 42.18741, 2, 2
2, 0.01661463, -7.485409e-05, , -0.001200802, 50118.72, 8.323829e-05, 0.0004056345, 0.003561022, 0.003480564, 0.06889439, 0.04657181, 0.0831587, 34.05824, 2, 2
2, 0.01661463, -7.485409e-05, , -0.001200802, 39810.71, -0.0002090141, -0.0004425814, -0.004924282, -0.004049951, 0.06941284, 0.03278911, 0.07676763, 25.28503, 2, 2
2, 0.01661463, -7.485409e-05, , -0.001200802, 31622.77, -0.0002739996, -0.0005325135, -0.005591778, -0.005858008, 0.07092579, 0.0209289, 0.07394921, 16.44036, 2, 2
3, 0.01661463, -0.0005837186, , -0.001784521, 25118.86, 0.0004584966, 0.0006405053, 0.007232597, 0.007486523, 0.07485596, 0.01107409, 0.07567067, 8.415222, 2, 1
3, 0.01661463, -0.0005837186, , -0.001784521, 19952.62, 0.0003471578, 0.0009234872, 0.004839184, 0.01163855, 0.07822583, 0.002697189, 0.07827231, 1.974749, 2, 1
3, 0.01661463, -0.0005837186, , -0.001784521, 15848.93, 0.0009976884, 0.0006566915, 0.01166347, 0.008495511, 0.08268297, -0.003921865, 0.08277593, -2.71565, 2, 1
4, 0.01670807, 0.001047556, , -0.0007369648, 12589.25, 0.0009535829, -0.0009683402, 0.01185105, -0.009875496, 0.08767305, -0.008651163, 0.08809885, -5.635434, 2, 1
4, 0.01670807, 0.001047556, , -0.0007369648, 9999.997, 0.0009708003, -0.001085483, 0.01175281, -0.01025023, 0.09266642, -0.01154023, 0.09338224, -7.098794, 2, 1
4, 0.01670807, 0.001047556, , -0.0007369648, 7943.28, -0.0009728231, 0.00114598, -0.01135073, 0.01026796, 0.09736251, -0.01288595, 0.09821154, -7.539291, 2, 1
