Experiment:, 40% SOC
Start date:, Thursday, June 20, 2024
Start time:, 4:06:12 AM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 1.078666, -0.001634636, , -0.001634636, 100000, 0.001380635, 0.0001816322, 0.02650829, -0.00310299, 0.05058791, 0.01277359, 0.05217568, 14.17113, 1, 1
1, 1.078666, -0.001634636, , -0.001634636, 79432.82, 0.001011729, 0.0007641644, 0.02140695, 0.01201529, 0.0511756, 0.006973176, 0.0516485, 7.759324, 1, 1
1, 1.078666, -0.001634636, , -0.001634636, 63095.73, 0.001133267, -0.0003617301, 0.02150111, -0.007666629, 0.05208417, 0.001747811, 0.05211349, 1.921978, 1, 1
1, 1.078666, -0.001634636, , -0.001634636, 50118.72, -0.00101029, -0.0005678719, -0.0181899, -0.01167727, 0.05352442, -0.003141712, 0.05361654, -3.359225, 1, 1
2, 1.083809, -0.0001758999, , -0.001810536, 39810.71, -0.0005764874, -0.001016794, -0.007730661, -0.01943847, 0.05534871, -0.007644907, 0.05587418, -7.864083, 1, 1
2, 1.083809, -0.0001758999, , -0.001810536, 31622.77, -0.001115666, 0.0005063179, -0.02018661, 0.004594779, 0.05797312, -0.01188631, 0.05917911, -11.58685, 1, 1
2, 1.083809, -0.0001758999, , -0.001810536, 25118.86, 0.001015387, 0.000858138, 0.01218364, 0.0171381, 0.06124083, -0.01571068, 0.06322392, -14.38833, 1, 1
2, 1.083809, -0.0001758999, , -0.001810536, 19952.62, 0.001259879, -0.0007140726, 0.02071511, -0.00482953, 0.06530624, -0.01924558, 0.06808302, -16.42011, 1, 1
3, 1.08303, -0.006591203, , -0.008401738, 15848.93, -0.001172154, -0.001003359, -0.01112468, -0.01771391, 0.07042366, -0.02194398, 0.07376334, -17.30701, 1, 1
3, 1.08303, -0.006591203, , -0.008401738, 12589.25, -0.0002679284, -0.001613596, 0.002728494, -0.02040099, 0.0759785, -0.02329472, 0.07946935, -17.04534, 1, 1
3, 1.08303, -0.006591203, , -0.008401738, 9999.997, 0.0001846663, -0.001718378, 0.00767566, -0.01887228, 0.08154392, -0.02338017, 0.0848295, -15.99859, 1, 1
3, 1.08303, -0.006591203, , -0.008401738, 7943.28, 0.0009079261, -0.00156722, 0.01421927, -0.01442368, 0.08657369, -0.02239985, 0.08942459, -14.50644, 1, 1
4, 1.083809, -9.747315e-05, , -0.008499212, 6309.571, -0.001392411, -0.001261456, -0.01156085, -0.01653812, 0.09077343, -0.02073951, 0.09311253, -12.86978, 1, 1
4, 1.083809, -9.747315e-05, , -0.008499212, 5011.871, -0.0004372839, -0.001883944, -0.0006322679, -0.02011618, 0.0942433, -0.01877577, 0.09609541, -11.26732, 1, 1
4, 1.083809, -9.747315e-05, , -0.008499212, 3981.07, 0.001504918, 0.001283642, 0.01284017, 0.01546316, 0.09696679, -0.01680437, 0.09841212, -9.831723, 1, 1
4, 1.083809, -9.747315e-05, , -0.008499212, 3162.276, -0.002009647, -8.067469e-05, -0.01972038, -0.003784719, 0.09904412, -0.01491754, 0.1001612, -8.565228, 1, 1
5, 1.083965, 0.0007181643, , -0.007781048, 2511.885, -0.0009460085, 0.001804975, -0.01158548, 0.01638199, 0.10067, -0.0134478, 0.1015642, -7.608696, 1, 1
5, 1.083965, 0.0007181643, , -0.007781048, 1995.261, -0.001610781, 0.001289139, -0.01703725, 0.0105891, 0.1021233, -0.0121936, 0.1028487, -6.808925, 1, 1
5, 1.083965, 0.0007181643, , -0.007781048, 1584.892, -0.001263568, -0.001656035, -0.01037156, -0.01716474, 0.1032592, -0.01122122, 0.1038671, -6.202019, 1, 1
5, 1.083965, 0.0007181643, , -0.007781048, 1258.925, 0.002000733, 0.0006427255, 0.01837137, 0.008023665, 0.1042912, -0.01056384, 0.1048248, -5.783863, 1, 1
6, 1.083965, -0.0007092013, , -0.00849025, 999.9994, 0.001045172, 0.001845947, 0.008167737, 0.0183064, 0.1053398, -0.01009397, 0.1058223, -5.473541, 1, 1
6, 1.083965, -0.0007092013, , -0.00849025, 794.3277, -0.001290931, -0.001707294, -0.01055423, -0.01704439, 0.1063057, -0.009912721, 0.1067669, -5.327273, 1, 1
6, 1.083965, -0.0007092013, , -0.00849025, 630.9569, -0.001449785, 0.001599946, -0.01476708, 0.01354954, 0.1072748, -0.00991545, 0.107732, -5.280868, 1, 1
6, 1.083965, -0.0007092013, , -0.00849025, 501.1869, -0.0007743069, -0.002038606, -0.005336574, -0.01931842, 0.1083319, -0.01015537, 0.1088069, -5.355433, 1, 1
6, 1.083965, -0.0007092013, , -0.00849025, 398.1069, -0.001724004, -0.001370818, -0.0144243, -0.01391821, 0.1093813, -0.01050823, 0.1098849, -5.487548, 1, 1
6, 1.083965, -0.0007092013, , -0.00849025, 316.2275, 0.002123459, 0.00067536, 0.0184017, 0.007935724, 0.1106447, -0.01101452, 0.1111916, -5.684982, 1, 1
7, 1.084121, -0.0002072706, , -0.00869752, 251.1884, -0.001649223, 0.001535743, -0.01601402, 0.01205212, 0.1118232, -0.01174194, 0.112438, -5.994349, 1, 1
7, 1.084121, -0.0002072706, , -0.00869752, 199.5261, -0.002122623, 0.0008364854, -0.01934626, 0.00524398, 0.1131257, -0.01257381, 0.1138224, -6.342335, 1, 1
7, 1.084121, -0.0002072706, , -0.00869752, 158.4892, 8.957208e-05, 0.002311399, -0.001589029, 0.01997596, 0.114627, -0.01360224, 0.1154312, -6.767369, 1, 1
7, 1.084121, -0.0002072706, , -0.00869752, 125.8924, 0.002164136, -0.0009164487, 0.01929877, -0.005404302, 0.1163153, -0.01491524, 0.1172677, -7.307223, 1, 1
7, 1.084121, -0.0002072706, , -0.00869752, 99.99991, 0.002372699, 0.0002624331, 0.01943011, 0.004929769, 0.1179487, -0.01641919, 0.119086, -7.924999, 1, 1
7, 1.084121, -0.0002072706, , -0.00869752, 79.43275, 0.002376655, -0.0005018993, 0.02000629, -0.001162084, 0.1198483, -0.01812558, 0.1212111, -8.60011, 1, 1
7, 1.084121, -0.0002072706, , -0.00869752, 63.09567, 0.001344373, -0.002083996, 0.01344426, -0.01485874, 0.1221319, -0.02002862, 0.1237633, -9.313136, 1, 1
8, 1.084277, -0.0002543266, , -0.008951847, 50.11867, 0.002088385, -0.001434118, 0.01826684, -0.008249607, 0.1244086, -0.02232439, 0.1263957, -10.17312, 1, 1
8, 1.084277, -0.0002543266, , -0.008951847, 39.81068, -0.002078329, 0.001554515, -0.0180565, 0.008691428, 0.1270944, -0.02491532, 0.1295135, -11.09149, 1, 1
8, 1.084277, -0.0002543266, , -0.008951847, 31.62274, -0.001533661, 0.00218299, -0.01469096, 0.01363328, 0.1301804, -0.02778601, 0.1331128, -12.04855, 1, 1
8, 1.084277, -0.0002543266, , -0.008951847, 25.11884, 0.002724924, 0.0003201404, 0.01886915, 0.006761845, 0.1333651, -0.03082564, 0.1368812, -13.01463, 1, 1
