# freq,Re(Z),Im(Z)
5.011872000000000116e+04,5.731093388155118762e-02,-8.258494229028637973e-03
3.981070999999999913e+04,5.821758910763539380e-02,-1.010091827678992124e-02
3.162277000000000044e+04,5.954576730876438850e-02,-1.222558175552335667e-02
2.511886000000000058e+04,6.144760042363513197e-02,-1.456376711618888667e-02
1.995261999999999898e+04,6.407141551986984818e-02,-1.695565139811463715e-02
1.584893000000000029e+04,6.750043235315390799e-02,-1.913411820149830966e-02
1.258925000000000000e+04,7.167004787774752805e-02,-2.075890557835141995e-02
9.999996999999999389e+03,7.631475827911635146e-02,-2.152321268243950064e-02
7.943279999999999745e+03,8.101289762287959551e-02,-2.129312552622123281e-02
6.309570999999999913e+03,8.533360037461397429e-02,-2.017911890407539377e-02
5.011871000000000095e+03,8.898986760346000446e-02,-1.847711395338464194e-02
3.981070000000000164e+03,9.189536013682192417e-02,-1.653189237285030908e-02
3.162275999999999840e+03,9.411934611220067193e-02,-1.462480827454687611e-02
2.511885000000000218e+03,9.580518812956301256e-02,-1.293262953269288563e-02
1.995260999999999967e+03,9.710655497390857649e-02,-1.153965507641888447e-02
1.584892000000000053e+03,9.815556516405438137e-02,-1.046853437262449359e-02
1.258924999999999955e+03,9.905419976273469040e-02,-9.708521267848569183e-03
9.999994000000000369e+02,9.987707721036193087e-02,-9.234701818883462449e-03
7.943277000000000498e+02,1.006777741564420930e-01,-9.019061188637704507e-03
6.309569000000000187e+02,1.014951202068193892e-01,-9.036025772706828690e-03
5.011868999999999801e+02,1.023582339002012537e-01,-9.264835831182597486e-03
3.981068999999999960e+02,1.032902108072365766e-01,-9.690260148416205560e-03
3.162275000000000205e+02,1.043107035344379152e-01,-1.030254045993720877e-02
2.511884000000000015e+02,1.054376976033726820e-01,-1.109703470396780807e-02
1.995261000000000138e+02,1.066887407473950944e-01,-1.207379460908218106e-02
1.584892000000000110e+02,1.080818234477282092e-01,-1.323719307501774328e-02
1.258923999999999950e+02,1.096360144141805548e-01,-1.459562165791069427e-02
9.999990999999999985e+01,1.113719708510994832e-01,-1.616129383239229417e-02
7.943274999999999864e+01,1.133123926638461010e-01,-1.795016335783510691e-02
6.309566999999999837e+01,1.154823881091871784e-01,-1.998191444650950985e-02
5.011867000000000161e+01,1.179099418173731040e-01,-2.228012528506502499e-02
3.981067999999999785e+01,1.206265914016348140e-01,-2.487211028112538275e-02
3.162274000000000029e+01,1.236667541645599111e-01,-2.778817293182794107e-02
2.511883999999999872e+01,1.270646951086022713e-01,-3.106460890433157887e-02
1.995260000000000034e+01,1.308589307326997186e-01,-3.475439547523103551e-02
1.584891000000000005e+01,1.351161489126085358e-01,-3.892899076933064445e-02
1.258924000000000021e+01,1.399559057339772594e-01,-4.364227358004936497e-02
9.999988000000000099e+00,1.455248685160625000e-01,-4.886319595715208491e-02
7.943272000000000332e+00,1.518928764370812978e-01,-5.444120142379261368e-02
6.309565000000000090e+00,1.589188245735432548e-01,-6.018050858472565739e-02
5.011866000000000376e+00,1.661992392262461593e-01,-6.602995625600675822e-02
3.981066000000000216e+00,1.731839529589710991e-01,-7.227798460291776084e-02
3.162272999999999890e+00,1.794001705453743822e-01,-7.960323089578730249e-02
2.511883000000000088e+00,1.846176856575998948e-01,-8.895740067864486844e-02
1.995258999999999894e+00,1.888588007008265290e-01,-1.014069384411909885e-01
1.584891000000000050e+00,1.923021357935568720e-01,-1.180567909276256933e-01
1.258923999999999932e+00,1.951766383998641829e-01,-1.400777793468264421e-01
9.999980000000000535e-01,1.976956361271489104e-01,-1.687954163280707132e-01
7.943270000000000053e-01,2.000315778986500037e-01,-2.058004179304318837e-01
6.309559999999999613e-01,2.023147404719553011e-01,-2.530681533252348014e-01
5.011860000000000204e-01,2.046411730930744466e-01,-3.130847338395470469e-01
3.981060000000000154e-01,2.070824265823068000e-01,-3.889932078750732436e-01
3.162269999999999803e-01,2.096938105165738475e-01,-4.847669024655980596e-01
2.511880000000000224e-01,2.125206828700737516e-01,-6.054260479299063968e-01
1.995260000000000089e-01,2.156027939718515862e-01,-7.573032702376401026e-01
1.584889999999999910e-01,2.189774685784635078e-01,-9.483871415150815221e-01
1.258920000000000039e-01,2.226815747938816481e-01,-1.188740814189046313e+00
1.000000000000000056e-01,2.267529234827126428e-01,-1.491028530888062642e+00
