# freq,Re(Z),Im(Z)
1.995261000000000138e+02,1.966369008484902814e-03,-1.446929398565627235e-04
1.584892000000000110e+02,1.987111008373954046e-03,-1.474749209840168379e-04
1.258924999999999983e+02,2.008208176724451954e-03,-1.505565336521779351e-04
9.999993999999999517e+01,2.029699237822230051e-03,-1.539789713269576498e-04
7.943277000000000498e+01,2.051645267666407646e-03,-1.577888446112459475e-04
6.309568999999999761e+01,2.074135720456338206e-03,-1.620103386873139551e-04
5.011869000000000085e+01,2.097258024239462282e-03,-1.666114395985558206e-04
3.981069000000000102e+01,2.121030927838746249e-03,-1.715052225567663023e-04
3.162274999999999991e+01,2.145343586363201993e-03,-1.766166847911763917e-04
2.511884999999999835e+01,2.169962035472039474e-03,-1.819940202991759612e-04
1.995260999999999996e+01,2.194622269294205230e-03,-1.878882873127829002e-04
1.584891999999999967e+01,2.219146417218126333e-03,-1.947402616962949466e-04
1.258924000000000021e+01,2.243498474394589604e-03,-2.030999485435982827e-04
9.999990999999999630e+00,2.267760759200210252e-03,-2.135556038169229322e-04
7.943274999999999864e+00,2.292076280397209453e-03,-2.267172786890401929e-04
6.309567999999999621e+00,2.316599876146990811e-03,-2.432473799274435474e-04
5.011867999999999768e+00,2.341473323935278072e-03,-2.639141938675895380e-04
3.981068000000000051e+00,2.366818368534362449e-03,-2.896523899122274487e-04
3.162275000000000169e+00,2.392738910938829733e-03,-3.216269846592614487e-04
2.511883999999999784e+00,2.419326229121721017e-03,-3.613038893241839493e-04
1.995260000000000034e+00,2.446663998747461433e-03,-4.105319512131537117e-04
1.584891999999999967e+00,2.474832481788202809e-03,-4.716427428949866111e-04
1.258923999999999932e+00,2.503911996706409404e-03,-5.475753273760322224e-04
9.999989999999999712e-01,2.533984645671893965e-03,-6.420303354337603347e-04
7.943270000000000053e-01,2.565136655571287339e-03,-7.596671027219452105e-04
6.309569999999999901e-01,2.597458900253868386e-03,-9.063469950858066542e-04
5.011870000000000491e-01,2.631049064015067440e-03,-1.089447896240626750e-03
3.981069999999999887e-01,2.666011418980707148e-03,-1.318249778876560106e-03
3.162269999999999803e-01,2.702458555855241640e-03,-1.604431336574401292e-03
2.511880000000000224e-01,2.740510796239686853e-03,-1.962678046207508124e-03
1.995260000000000089e-01,2.780298550304538541e-03,-2.411472004384664081e-03
1.584889999999999910e-01,2.821963154914647331e-03,-2.974078387795396280e-03
1.258920000000000039e-01,2.865656321069248724e-03,-3.679764482423657744e-03
1.000000000000000056e-01,2.911540320138544802e-03,-4.565329046957679847e-03
7.943300000000000360e-02,2.959793700233526170e-03,-5.677147558460786739e-03
6.309599999999999931e-02,3.010607073162308023e-03,-7.073544790867991074e-03
5.011899999999999689e-02,3.064186716534689214e-03,-8.827939816933855557e-03
3.981099999999999917e-02,3.120754997264330033e-03,-1.103272895961603800e-02
3.162299999999999833e-02,3.180552719013046703e-03,-1.380424118513070599e-02
2.511899999999999897e-02,3.243839397214842712e-03,-1.728888795401204576e-02
1.995299999999999851e-02,3.310890193137100423e-03,-2.167061085347358682e-02
1.584899999999999851e-02,3.382020441313388082e-03,-2.718228650270777119e-02
1.258899999999999950e-02,3.457552089215026880e-03,-3.411581972425384301e-02
1.000000000000000021e-02,3.537818701973699520e-03,-4.283679291359535068e-02
