Frequency,Real_Error,Imag_Error
199.5261,6.993599151509716e-05,0.00013813627085656273
158.4892,5.479999162604594e-05,0.00012683820098401683
125.8925,3.1804823275547855e-05,0.00010759172365217793
99.99994,2.3924762177769936e-05,9.350510132695764e-05
79.43277,3.3062676664074968e-06,9.391832461124594e-05
63.09569,7.45672045633812e-06,7.800804868731395e-05
50.11869,2.825202423946231e-05,6.853495959855583e-05
39.81069,3.294592783874631e-05,5.870322255676631e-05
31.62275,4.528058636320189e-05,4.6447084791176384e-05
25.11885,5.618603547203954e-05,3.431642029917597e-05
19.95261,6.097826929420515e-05,2.4920187312782905e-05
15.84892,7.637841721812614e-05,6.409661696294951e-06
12.58924,7.534147439458962e-05,1.7147514564017064e-06
9.999991,6.980575920021012e-05,2.473769618307708e-05
7.943275,8.236828039720956e-05,2.474652131095981e-05
6.309568,5.506387614699062e-05,4.173352007255643e-05
5.011868,6.572232393527817e-05,6.378020613241045e-05
3.981068,3.454536853436229e-05,6.696681008777253e-05
3.162275,1.8674910938829784e-05,8.061351534073856e-05
2.511884,1.8682291217210836e-06,7.108071067581605e-05
1.99526,3.878400125253848e-05,7.43910487868463e-05
1.584892,5.553351821179723e-05,7.555225710501338e-05
1.258924,5.3846003293590416e-05,4.6349372623967814e-05
0.999999,5.846835432810624e-05,2.2071364566239636e-05
0.794327,6.883134442871265e-05,1.3950097278054739e-05
0.630957,5.7943099746131464e-05,1.177904914193375e-06
0.501187,5.344593598493241e-05,2.1623896240626763e-05
0.398107,4.2279581019292675e-05,2.4731778876560095e-05
0.316227,3.080744414475818e-05,3.400933657440137e-05
0.251188,2.7182203760313037e-05,3.0394046207508083e-05
0.199526,3.8033449695461675e-05,2.903200438466409e-05
0.158489,8.61284508535268e-06,2.5222387795396147e-05
0.125892,1.1130678930751283e-05,3.3940482423657544e-05
0.1,2.273867986145534e-05,4.485204695767967e-05
0.079433,2.1062997664737793e-06,4.4960558460786434e-05
0.063096,5.311926837692129e-06,4.6941790867990885e-05
0.050119,6.754283465310994e-06,3.713881693385469e-05
0.039811,2.536399726433018e-05,3.08089596160379e-05
0.031623,4.383471901304656e-05,1.9261185130705488e-05
0.025119,4.290639721484272e-05,6.727954012044485e-06
0.019953,4.5860193137100495e-05,1.0299146526414338e-05
0.015849,4.003441313387996e-06,1.824349729222935e-05
0.012589,2.608591078497296e-05,3.69702757461593e-05
0.01,0.0001058452980263005,1.2847086404650654e-05
