# freq,Re(Z),Im(Z)
1.467797999999999945e+02,1.987843121574156113e-03,-6.716738974808637332e-05
1.211526999999999958e+02,1.994647925027430088e-03,-7.384683222499197465e-05
9.999993999999999517e+01,2.002129445660106970e-03,-8.119052510533219570e-05
8.254036999999999580e+01,2.010354962505290534e-03,-8.926450796800654318e-05
6.812917000000000201e+01,2.019398463235144194e-03,-9.814140548004939284e-05
5.623409999999999798e+01,2.029341298212891491e-03,-1.079010698680458471e-04
4.641586000000000212e+01,2.040272900828867756e-03,-1.186312821356705626e-04
3.831183999999999656e+01,2.052291594848283836e-03,-1.304285470605909790e-04
3.162275999999999954e+01,2.065505371015437155e-03,-1.433990008271165332e-04
2.610154999999999959e+01,2.080033320438289847e-03,-1.576597350561532225e-04
2.154432999999999865e+01,2.096007428449054438e-03,-1.733386644545380348e-04
1.778277999999999892e+01,2.113572029242185690e-03,-1.905725478373499924e-04
1.467797999999999981e+01,2.132875237926804782e-03,-2.095097078237190464e-04
1.211527000000000065e+01,2.154063859279869379e-03,-2.303325670044650570e-04
9.999990000000000379e+00,2.177314786663555983e-03,-2.532927387829326843e-04
8.254034000000000759e+00,2.202917042198422690e-03,-2.787042250821675378e-04
6.812914000000000136e+00,2.231350791772693850e-03,-3.068345529131800541e-04
5.623407000000000266e+00,2.263248640866206713e-03,-3.377031179239944241e-04
4.641583999999999932e+00,2.299158144735882064e-03,-3.709071282832153947e-04
3.831182999999999783e+00,2.339142205922638967e-03,-4.056488953282802001e-04
3.162274000000000029e+00,2.382396810505049527e-03,-4.410830966286028430e-04
2.610154000000000085e+00,2.427142322139791593e-03,-4.769330451444991101e-04
2.154431999999999903e+00,2.470952722122489627e-03,-5.141129860029563115e-04
1.778277000000000108e+00,2.511419149924770059e-03,-5.550193609706311187e-04
1.467797000000000018e+00,2.546802000428857824e-03,-6.033487191854876091e-04
1.211526000000000103e+00,2.576349660918611853e-03,-6.636182301905928661e-04
9.999989999999999712e-01,2.600220893008362011e-03,-7.407136435643595128e-04
8.254029999999999978e-01,2.619176668674717996e-03,-8.396809271684052946e-04
6.812909999999999799e-01,2.634247602911103572e-03,-9.657829114404501217e-04
5.623399999999999510e-01,2.646494733919840803e-03,-1.124739179944037352e-03
4.641580000000000150e-01,2.656882711940027932e-03,-1.323045839791998435e-03
3.831180000000000141e-01,2.666238978634747053e-03,-1.568336517713809141e-03
3.162269999999999803e-01,2.675261303233637811e-03,-1.869751737762044173e-03
2.610149999999999970e-01,2.684547646270975772e-03,-2.238335866276646054e-03
2.154429999999999956e-01,2.694632569311557289e-03,-2.687482969406260712e-03
1.778280000000000138e-01,2.706022881194061064e-03,-3.233446555308855386e-03
1.467799999999999938e-01,2.719230842981000540e-03,-3.895962762646176455e-03
1.211529999999999968e-01,2.734803437045478861e-03,-4.698931291710890627e-03
1.000000000000000056e-01,2.753352063785582428e-03,-5.671341961500202256e-03
8.254000000000000226e-02,2.775580105081155730e-03,-6.848276362928792417e-03
6.812899999999999512e-02,2.802311711322477087e-03,-8.272109092773942754e-03
5.623399999999999926e-02,2.834528599868131517e-03,-9.994238032399904714e-03
4.641599999999999893e-02,2.873403451827431874e-03,-1.207670662279461231e-02
3.831199999999999883e-02,2.920348614846466836e-03,-1.459469311094636207e-02
3.162299999999999833e-02,2.977062565196656775e-03,-1.763891367329123785e-02
2.610200000000000020e-02,3.045595115988750188e-03,-2.131905042221173691e-02
2.154400000000000065e-02,3.128445283004504043e-03,-2.576894318781437765e-02
1.778300000000000020e-02,3.228561394763437668e-03,-3.114652992653693317e-02
1.467800000000000007e-02,3.349613074311199971e-03,-3.764837946797026935e-02
1.211500000000000077e-02,3.495971625459235680e-03,-4.550854007905202198e-02
1.000000000000000021e-02,3.672881809474158946e-03,-5.500763264227398475e-02
