Experiment:, 0%_SOC_NoMultiplexer
Start date:, Friday, June 21, 2024
Start time:, 8:37:52 AM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.06205791, -0.1967759, , -0.1967759, , , , , , , , , , 2, 1
2, 0.06372428, -0.01468484, , -0.2114607, 10000, 0.0005429139, -0.0005217678, -0.04247104, -0.1844417, 0.002042782, 0.003413941, 0.003978436, 59.10518, 2, 1
3, 0.06389558, -0.0004425505, , -0.2119033, 8254.042, -0.000274812, 0.0006128417, 0.09625595, 0.1667724, 0.002043053, 0.002827015, 0.00348799, 54.14477, 2, 1
4, 0.06391116, -0.0008033133, , -0.2127066, 6812.921, -0.0005252673, -0.0003002344, -0.18406, 0.06421341, 0.002036807, 0.002341762, 0.003103616, 48.98405, 2, 1
5, 0.06392673, -0.00041118, , -0.2131178, 5623.413, 0.0001164101, -0.0005389972, -0.1030081, -0.1674458, 0.002024945, 0.001940902, 0.002804907, 43.78599, 2, 1
6, 0.0639423, -0.0005837186, , -0.2137015, 4641.588, 0.0001537767, -0.0004857968, -0.07094242, -0.1845188, 0.002014568, 0.00160794, 0.002577587, 38.59533, 2, 1
7, 0.06395788, -0.0002700118, , -0.2139715, 3831.186, -0.0002217595, 0.0004242318, 0.02055482, 0.1974782, 0.00200959, 0.001332128, 0.00241102, 33.53983, 2, 1
8, 0.06395788, -9.747315e-05, , -0.214069, 3162.277, -0.0001253124, 0.0004383863, 0.043922, 0.1942158, 0.002008568, 0.001099461, 0.002289795, 28.69565, 2, 1
9, 0.06395788, -0.0002856972, , -0.2143547, 2610.157, -0.0001318167, 0.0004180411, 0.02373524, 0.1980618, 0.002002151, 0.0009054659, 0.00219738, 24.3347, 2, 1
10, 0.06397345, -0.0004739213, , -0.2148286, 2154.434, -1.293452e-05, -0.0004266876, -0.07552655, -0.1849217, 0.002002008, 0.0007477232, 0.002137083, 20.47999, 2, 1
11, 0.06398902, -0.0006621453, , -0.2154907, 1778.279, 0.0003712238, -0.0001924782, 0.1426142, -0.1401488, 0.001998909, 0.0006147115, 0.002091293, 17.09389, 2, 1
12, 0.06397345, -0.0008189987, , -0.2163097, 1467.799, -9.876622e-05, 0.0003990441, 0.0007794344, 0.2000599, 0.00199267, 0.0005014468, 0.002054795, 14.12495, 2, 1
13, 0.06395788, -0.02823697, , -0.2445467, 1211.527, 0.0002044766, -0.0003499365, 0.06400267, -0.1895856, 0.001983813, 0.0004088245, 0.002025501, 11.64451, 2, 1
14, 0.06398902, -0.02008059, , -0.2646273, 999.9997, -0.000313257, 0.0002524735, -0.1331342, 0.1494947, 0.001982579, 0.0003298302, 0.002009828, 9.445459, 2, 1
14, 0.06398902, -0.02008059, , -0.2646273, 825.4039, 0.0003655867, -0.0001691603, 0.1691221, -0.1072152, 0.001994279, 0.0002640498, 0.002011683, 7.5423, 2, 1
15, 0.06400459, -0.0005366626, , -0.265164, 681.2919, -0.0004007964, -3.325033e-05, -0.2001926, 0.004352823, 0.001997499, 0.0002095237, 0.002008458, 5.98803, 2, 1
15, 0.06400459, -0.0005366626, , -0.265164, 562.3411, 0.0003506036, -0.0001951302, 0.166324, -0.1114633, 0.001997211, 0.000165253, 0.002004036, 4.729988, 2, 1
16, 0.06402017, -0.0002856972, , -0.2654497, 464.1587, 0.0003928558, -8.207812e-05, 0.1931293, -0.0529549, 0.002000302, 0.0001234805, 0.00200411, 3.532438, 2, 1
16, 0.06402017, -0.0002856972, , -0.2654497, 383.1185, 0.0003831636, 0.000117982, 0.1939375, 0.04993704, 0.001999764, 9.343046e-05, 0.002001945, 2.674956, 2, 1
17, 0.06403574, -0.0008189987, , -0.2662687, 316.2276, -0.0003324712, -0.0002248557, -0.1693177, -0.1068905, 0.002003494, 6.320201e-05, 0.00200449, 1.806848, 2, 1
17, 0.06403574, -0.0008189987, , -0.2662687, 261.0156, -0.0002788312, 0.0002893688, -0.1360298, 0.1469528, 0.002006345, 4.020682e-05, 0.002006748, 1.148044, 2, 1
18, 0.06402017, -0.0005209773, , -0.2667896, 215.4434, 0.0001652316, -0.0003697529, 0.08011485, -0.1835674, 0.00202197, 1.766007e-05, 0.002022047, 0.5004139, 2, 1
19, 0.06403574, -0.0006307747, , -0.2674204, 177.8279, 6.803275e-05, 0.0003989669, 0.03373037, 0.1973984, 0.002021007, 6.917616e-07, 0.002021007, 0.01961152, 2, 1
19, 0.06403574, -0.0006307747, , -0.2674204, 146.7798, 0.0003885379, -0.000122161, 0.1914984, -0.05842656, 0.002034209, -1.728072e-05, 0.002034282, -0.4867193, 2, 1
20, 0.06405132, 0.0001221215, , -0.2672983, 121.1527, 0.0003555169, 0.000197777, 0.17341, 0.100213, 0.002030979, -3.317831e-05, 0.00203125, -0.9359073, 2, 1
20, 0.06405132, 0.0001221215, , -0.2672983, 99.99994, 0.000268758, -0.0003078454, 0.1350344, -0.1479269, 0.002039806, -4.51976e-05, 0.002040307, -1.26934, 2, 1
21, 0.06408247, -0.000975852, , -0.2682742, 82.54037, 0.0001780719, -0.0003655104, 0.09304674, -0.1773049, 0.002029588, -6.076951e-05, 0.002030498, -1.715026, 2, 1
21, 0.06408247, -0.000975852, , -0.2682742, 68.12917, 0.0004081811, 5.328244e-06, 0.1999635, 0.009865014, 0.002037633, -7.387868e-05, 0.002038972, -2.076469, 2, 1
22, 0.06408247, 0.0008436469, , -0.2674305, 56.2341, 0.0001433463, -0.0003839864, 0.07790472, -0.1844996, 0.002044733, -8.643927e-05, 0.002046559, -2.420687, 2, 1
22, 0.06408247, 0.0008436469, , -0.2674305, 46.41586, 0.0002068253, -0.0003582018, 0.1083882, -0.1683952, 0.00206301, -9.965058e-05, 0.002065415, -2.765437, 2, 1
23, 0.06408247, -0.0003484386, , -0.2677789, 38.31184, -4.876237e-05, 0.0004126427, -0.03457905, 0.1972086, 0.002072067, -0.0001160585, 0.002075315, -3.205843, 2, 1
24, 0.06409804, -0.003532562, , -0.2713115, 31.62276, 0.0003538083, 0.0002212564, 0.1628702, 0.1165144, 0.00207979, -0.0001293612, 0.002083809, -3.559164, 2, 1
24, 0.06409804, -0.003532562, , -0.2713115, 26.10155, 8.699716e-05, -0.0004112002, 0.05488101, -0.1926071, 0.002093637, -0.000144874, 0.002098644, -3.958403, 2, 1
25, 0.06411362, -0.001038593, , -0.2723501, 21.54433, 0.0002023388, 0.000371415, 0.08194873, 0.182688, 0.002106097, -0.0001628289, 0.002112382, -4.420922, 2, 1
