Experiment:, 60%_SOC
Start date:, Friday, June 21, 2024
Start time:, 5:15:18 AM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 1.612111, -0.007500952, , -0.007500952, 10000, 0.0004914455, 0.0003770717, 0.1755296, -0.0915909, 0.00131958, 0.002836748, 0.003128646, 65.05341, 1, 1
1, 1.612111, -0.007500952, , -0.007500952, 7943.282, 0.0004971471, 0.0002200872, 0.1726237, -0.09966416, 0.001607892, 0.002203268, 0.002727583, 53.87894, 1, 1
1, 1.612111, -0.007500952, , -0.007500952, 6309.573, -0.0004770414, 0.0001341582, -0.09989752, 0.1730281, 0.001775339, 0.001732028, 0.002480272, 44.29251, 1, 1
1, 1.612111, -0.007500952, , -0.007500952, 5011.872, -0.0004598816, -5.259831e-05, -0.1734751, 0.0994504, 0.001864423, 0.001372046, 0.002314862, 36.3497, 1, 1
2, 1.619591, 0.007274635, , -0.000226317, 3981.071, 0.0001143196, -0.0004268446, -0.05066967, -0.1935905, 0.001918869, 0.001092761, 0.002208208, 29.66072, 1, 1
2, 1.619591, 0.007274635, , -0.000226317, 3162.277, 0.0003920757, -0.0001768631, 0.1335518, -0.1491562, 0.001964458, 0.0008696847, 0.002148359, 23.87944, 1, 1
2, 1.619591, 0.007274635, , -0.000226317, 2511.886, 0.000333999, -0.0002537476, 0.1108616, -0.166727, 0.001978992, 0.0006873789, 0.00209497, 19.15405, 1, 1
2, 1.619591, 0.007274635, , -0.000226317, 1995.262, -0.0003897162, -0.0001388375, -0.1997191, -0.01484449, 0.001991986, 0.0005471058, 0.002065753, 15.35779, 1, 1
3, 1.619591, -0.01832383, , -0.01855015, 1584.893, -0.0001542213, 0.0003798849, -0.03473822, 0.1972713, 0.002001305, 0.0004293555, 0.002046843, 12.10856, 1, 1
3, 1.619591, -0.01832383, , -0.01855015, 1258.925, -0.0001774761, -0.0003631786, -0.1166061, -0.1628191, 0.001990354, 0.0003354115, 0.002018417, 9.565528, 1, 1
3, 1.619591, -0.01832383, , -0.01855015, 999.9998, -1.642895e-06, -0.0004030613, -0.02644768, -0.1985339, 0.001995872, 0.0002576048, 0.002012427, 7.354439, 1, 1
3, 1.619591, -0.01832383, , -0.01855015, 794.328, 7.690751e-05, 0.0003959299, 0.05708155, 0.1920021, 0.002004066, 0.0001952461, 0.002013554, 5.56448, 1, 1
3, 1.619591, -0.01832383, , -0.01855015, 630.9572, 0.0003937876, -8.948928e-05, 0.1914789, -0.05865117, 0.002011032, 0.0001486331, 0.002016517, 4.226981, 1, 1
4, 1.619591, -0.000599404, , -0.01914956, 501.1871, -6.780559e-05, 0.0003980829, -0.02279602, 0.1989616, 0.002013418, 0.0001101099, 0.002016427, 3.130277, 1, 1
4, 1.619591, -0.000599404, , -0.01914956, 398.107, 0.000166585, 0.0003665856, 0.08957647, 0.1791339, 0.002009079, 7.469935e-05, 0.002010468, 2.129327, 1, 1
4, 1.619591, -0.000599404, , -0.01914956, 316.2276, -0.0001388367, -0.000378214, -0.07292049, -0.1864928, 0.002011579, 4.208575e-05, 0.002012019, 1.198553, 1, 1
4, 1.619591, -0.000599404, , -0.01914956, 251.1885, 0.000391368, -9.889797e-05, 0.193676, -0.05095208, 0.002015574, 1.961901e-05, 0.00201567, 0.5576829, 1, 1
4, 1.619591, -0.000599404, , -0.01914956, 199.5261, 0.0004065603, 5.332213e-05, 0.1985419, 0.02633513, 0.002047333, -2.995062e-06, 0.002047335, -0.08381845, 1, 1
4, 1.619591, -0.000599404, , -0.01914956, 158.4892, 0.0002360763, -0.0003342809, 0.117201, -0.1623508, 0.002043683, -2.122229e-05, 0.002043794, -0.5949573, 1, 1
4, 1.619591, -0.000599404, , -0.01914956, 125.8925, -0.0004021213, -7.439505e-05, -0.196219, -0.04008728, 0.002041596, -3.795246e-05, 0.002041949, -1.064983, 1, 1
5, 1.619436, -0.0002229558, , -0.01937251, 99.99994, -0.0003246119, -0.0002502581, -0.1555684, -0.1261607, 0.002045765, -5.037656e-05, 0.002046385, -1.410613, 1, 1
5, 1.619436, -0.0002229558, , -0.01937251, 79.43277, -0.0003862127, -0.0001327254, -0.1871371, -0.07120392, 0.002038531, -6.64008e-05, 0.002039613, -1.865628, 1, 1
5, 1.619436, -0.0002229558, , -0.01937251, 63.09569, -0.0003676961, 0.0001857879, -0.1822703, 0.08289115, 0.002055706, -8.442466e-05, 0.002057438, -2.351728, 1, 1
5, 1.619436, -0.0002229558, , -0.01937251, 50.11869, -0.0004115921, 3.450275e-05, -0.200113, 0.007933769, 0.002060395, -9.072896e-05, 0.002062392, -2.521376, 1, 1
5, 1.619436, -0.0002229558, , -0.01937251, 39.81069, 0.0004126621, -5.395948e-05, 0.1996557, -0.01516525, 0.002075423, -0.0001126198, 0.002078476, -3.106025, 1, 1
5, 1.619436, -0.0002229558, , -0.01937251, 31.62275, 0.0003774212, -0.000179373, 0.1856749, -0.07501002, 0.002083016, -0.0001245509, 0.002086736, -3.421844, 1, 1
6, 1.619591, -0.001195447, , -0.02056796, 25.11885, -0.0003354907, -0.0002564985, -0.1504607, -0.1321741, 0.002103813, -0.0001433673, 0.002108693, -3.898475, 1, 1
6, 1.619591, -0.001195447, , -0.02056796, 19.95261, 0.0002697704, -0.0003281387, 0.1385102, -0.1445607, 0.002115665, -0.0001609753, 0.00212178, -4.3511, 1, 1
6, 1.619591, -0.001195447, , -0.02056796, 15.84892, 0.000237781, -0.0003550477, 0.1247144, -0.1566438, 0.002126931, -0.0001754175, 0.002134153, -4.714767, 1, 1
6, 1.619591, -0.001195447, , -0.02056796, 12.58924, -0.0001684934, -0.0003985457, -0.06035747, -0.1909493, 0.002151168, -0.0002024325, 0.002160672, -5.375903, 1, 1
