# freq,Re(Z),Im(Z)
1.995261000000000138e+02,2.006127104344258838e-03,-5.452021482982262539e-05
1.584892000000000110e+02,2.012828394522078561e-03,-6.107080625067368282e-05
1.258924999999999983e+02,2.020334825310163458e-03,-6.840843225721895049e-05
9.999993999999999517e+01,2.028743176876773597e-03,-7.662769662043989122e-05
7.943277000000000498e+01,2.038161782170752785e-03,-8.583449609156782790e-05
6.309568999999999761e+01,2.048712028624910010e-03,-9.614748833377818578e-05
5.011869000000000085e+01,2.060529880615277060e-03,-1.076995801323683323e-04
3.981069000000000102e+01,2.073767647124200378e-03,-1.206396559834265494e-04
3.162274999999999991e+01,2.088595942781309132e-03,-1.351344855079505991e-04
2.511884999999999835e+01,2.105205787540898564e-03,-1.513708065224214216e-04
1.995260999999999996e+01,2.123811208661017906e-03,-1.695581894890549183e-04
1.584891999999999967e+01,2.144653317965130191e-03,-1.899313540473252925e-04
1.258924000000000021e+01,2.168002711425432490e-03,-2.127474946748350853e-04
9.999990999999999630e+00,2.194143773238700027e-03,-2.382895602962800024e-04
7.943274999999999864e+00,2.223365533445846674e-03,-2.669201592067995169e-04
6.309567999999999621e+00,2.256061610981162108e-03,-2.991573800320838548e-04
5.011867999999999768e+00,2.292954318088833744e-03,-3.355769562888749375e-04
3.981068000000000051e+00,2.335163723327170638e-03,-3.763909815766983873e-04
3.162275000000000169e+00,2.383742736209987396e-03,-4.209481054913540238e-04
2.511883999999999784e+00,2.438671883075652427e-03,-4.677514180159266432e-04
1.995260000000000034e+00,2.497919649461288055e-03,-5.154480629801912140e-04
1.584891999999999967e+00,2.557472981682931863e-03,-5.645161944034724193e-04
1.258923999999999932e+00,2.612673143069385150e-03,-6.185657971845080327e-04
9.999989999999999712e-01,2.660019310715755220e-03,-6.842952402244361753e-04
7.943270000000000053e-01,2.698175464535335251e-03,-7.703453184628961071e-04
6.309569999999999901e-01,2.727765662513296878e-03,-8.861476456165367924e-04
5.011870000000000491e-01,2.750529754761882155e-03,-1.041545171756353338e-03
3.981069999999999887e-01,2.768527281135562106e-03,-1.247172180236601853e-03
3.162269999999999803e-01,2.783683053924084286e-03,-1.515263405864518626e-03
2.511880000000000224e-01,2.797634144242661016e-03,-1.860603604018020449e-03
1.995260000000000089e-01,2.811749764927101367e-03,-2.301565366516649704e-03
1.584889999999999910e-01,2.827219353030631377e-03,-2.861240634728859020e-03
1.258920000000000039e-01,2.845155666156735930e-03,-3.568724406804234077e-03
1.000000000000000056e-01,2.866693402387239867e-03,-4.460653515558098137e-03
7.943300000000000360e-02,2.893083224942140288e-03,-5.583224756622187125e-03
6.309599999999999931e-02,2.925778228763915769e-03,-6.994508893466440565e-03
5.011899999999999689e-02,2.966526829585485088e-03,-8.767507557375424365e-03
3.981099999999999917e-02,3.017473913595883524e-03,-1.099391207600630520e-02
3.162299999999999833e-02,3.081280262306502517e-03,-1.378888937349097461e-02
2.511899999999999897e-02,3.161264453329912672e-03,-1.729700033439985490e-02
1.995299999999999851e-02,3.261570464357486585e-03,-2.169933319785357501e-02
1.584899999999999851e-02,3.387422110176802753e-03,-2.722449179713809508e-02
1.258899999999999950e-02,3.545343701762808733e-03,-3.415810691531059179e-02
1.000000000000000021e-02,3.743481441014990911e-03,-4.285673672493797021e-02
