# freq,Re(Z),Im(Z)
1.995261000000000138e+02,2.482467817301881041e-03,1.305917922815424254e-04
1.584892000000000110e+02,2.463171144517772859e-03,1.296642511219615608e-04
1.258924999999999983e+02,2.444021623379200037e-03,1.286630894533825789e-04
9.999993999999999517e+01,2.425005553043035889e-03,1.276285966178008634e-04
7.943277000000000498e+01,2.406056904924014361e-03,1.265859165652723510e-04
6.309568999999999761e+01,2.387069205685321549e-03,1.255028907232312216e-04
5.011869000000000085e+01,2.367936740709453147e-03,1.242685575066064963e-04
3.981069000000000102e+01,2.348594715220642115e-03,1.227076886558808855e-04
3.162274999999999991e+01,2.329031209500342925e-03,1.206132219573599135e-04
2.511884999999999835e+01,2.309272565312880943e-03,1.177681658997960316e-04
1.995260999999999996e+01,2.289360965658460145e-03,1.139460763490392290e-04
1.584891999999999967e+01,2.269338583817059884e-03,1.088962211454730096e-04
1.258924000000000021e+01,2.249240147163433790e-03,1.023222347711030984e-04
9.999990999999999630e+00,2.229091718012554679e-03,9.385893519474452899e-05
7.943274999999999864e+00,2.208911759566944966e-03,8.304754266468665784e-05
6.309567999999999621e+00,2.188713452955681760e-03,6.930813344095391906e-05
5.011867999999999768e+00,2.168506558694716091e-03,5.190687430381733325e-05
3.981068000000000051e+00,2.148299235217976388e-03,2.991598627932211927e-05
3.162275000000000169e+00,2.128099665346994129e-03,2.163841712785337233e-06
2.511883999999999784e+00,2.107917694170069467e-03,-3.282779794244570251e-05
1.995260000000000034e+00,2.087767042766586201e-03,-7.692250953847087121e-05
1.584891999999999967e+00,2.067668267711653129e-03,-1.324684095864114516e-04
1.258923999999999932e+00,2.047652975821989685e-03,-2.024239005323414558e-04
9.999989999999999712e-01,2.027771104303965899e-03,-2.905139484303081955e-04
7.943270000000000053e-01,2.008101270927653559e-03,-4.014299417138371406e-04
6.309569999999999901e-01,1.988768317877642744e-03,-5.410767108671065339e-04
5.011870000000000491e-01,1.969969603507593092e-03,-7.168909621160466381e-04
3.981069999999999887e-01,1.952018439807190475e-03,-9.382318821254371317e-04
3.162269999999999803e-01,1.935411348044979718e-03,-1.216882729047281606e-03
2.511880000000000224e-01,1.920936070012757568e-03,-1.567663997710378029e-03
1.995260000000000089e-01,1.909840917251770520e-03,-2.009225721586204317e-03
1.584889999999999910e-01,1.904104550060736756e-03,-2.565031010595557586e-03
1.258920000000000039e-01,1.906863092031585438e-03,-3.264558675079921087e-03
1.000000000000000056e-01,1.923083903735189892e-03,-4.144785755831599354e-03
7.943300000000000360e-02,1.960632814723695105e-03,-5.252121687657315859e-03
6.309599999999999931e-02,2.031953634421768129e-03,-6.644539745959773640e-03
5.011899999999999689e-02,2.156708346914726349e-03,-8.394213313316245539e-03
3.981099999999999917e-02,2.365899890248712722e-03,-1.059035539402494036e-02
3.162299999999999833e-02,2.708263101323993283e-03,-1.334206678142629832e-02
2.511899999999999897e-02,3.260014694481228048e-03,-1.678028819748748207e-02
1.995299999999999851e-02,4.139318929915702938e-03,-2.105701076894923168e-02
1.584899999999999851e-02,5.527474732511805655e-03,-2.634070689994920042e-02
1.258899999999999950e-02,7.696304615659954607e-03,-3.279644307917763818e-02
1.000000000000000021e-02,1.103959750564165176e-02,-4.054634851360312819e-02
