# freq,Re(Z),Im(Z)
9.999994000000000369e+02,8.821665464490728234e-03,-3.368094978762149261e-05
7.943277000000000498e+02,8.825294761023947873e-03,-3.832966884847722561e-05
6.309569000000000187e+02,8.829366898074827996e-03,-4.368518265720066366e-05
5.011868999999999801e+02,8.833935909594147623e-03,-4.986986929008016512e-05
3.981068999999999960e+02,8.839062425979630003e-03,-5.703040057558371115e-05
3.162275000000000205e+02,8.844814475916442861e-03,-6.534312543249452441e-05
2.511884000000000015e+02,8.851268381583414849e-03,-7.502072980269875238e-05
1.995261000000000138e+02,8.858509768795617967e-03,-8.632050514874415074e-05
1.584892000000000110e+02,8.866634752655960100e-03,-9.955470537702382900e-05
1.258923999999999950e+02,8.875751146469120986e-03,-1.151032307323978407e-04
9.999990999999999985e+01,8.885979882682533415e-03,-1.334295205372622057e-04
7.943274999999999864e+01,8.897456725208977707e-03,-1.551005890085771304e-04
6.309566999999999837e+01,8.910333958715092872e-03,-1.808115973925763392e-04
5.011867000000000161e+01,8.924782449513767382e-03,-2.114168508956835535e-04
3.981067999999999785e+01,8.940993909967387410e-03,-2.479684538432646137e-04
3.162274000000000029e+01,8.959183496706431965e-03,-2.917648043131647025e-04
2.511883999999999872e+01,8.979592511971326227e-03,-3.444107672392970692e-04
1.995260000000000034e+01,9.002491841748462217e-03,-4.078940772514884176e-04
1.584891000000000005e+01,9.028185318467558951e-03,-4.846797754942530276e-04
1.258924000000000021e+01,9.057013812427541083e-03,-5.778294281369741967e-04
9.999988000000000099e+00,9.089359961062118756e-03,-6.911512308010263859e-04
7.943272000000000332e+00,9.125652942197547135e-03,-8.293865404706340580e-04
6.309565000000000090e+00,9.166374326362747293e-03,-9.984456840112277982e-04
5.011866000000000376e+00,9.212064448604713116e-03,-1.205703392247738657e-03
3.981066000000000216e+00,9.263329664330997165e-03,-1.460370373010103822e-03
3.162272999999999890e+00,9.320850153338526220e-03,-1.773958396212484655e-03
2.511883000000000088e+00,9.385389160872534969e-03,-2.160867110646799791e-03
1.995258999999999894e+00,9.457803248586298117e-03,-2.639121365692213405e-03
1.584891000000000050e+00,9.539052989151041578e-03,-3.231292332545439294e-03
1.258923999999999932e+00,9.630216691562561160e-03,-3.965667621806274849e-03
9.999980000000000535e-01,9.732504570995482995e-03,-4.877715191274512203e-03
7.943270000000000053e-01,9.847272811059487596e-03,-6.011904815002367015e-03
6.309559999999999613e-01,9.976045470772704898e-03,-7.424058765365260625e-03
5.011860000000000204e-01,1.012053064967149626e-02,-9.184224263894730234e-03
3.981060000000000154e-01,1.028264582410797802e-02,-1.138036258940608100e-02
3.162269999999999803e-01,1.046454125141732007e-02,-1.412293026524684761e-02
2.511880000000000224e-01,1.066863184029466852e-02,-1.755072483179255169e-02
1.995260000000000089e-01,1.089762364354880317e-02,-2.183808969923509841e-02
1.584889999999999910e-01,1.115455915574725329e-02,-2.720426303847432725e-02
1.258920000000000039e-01,1.144284756090083698e-02,-3.392475100562733492e-02
1.000000000000000056e-01,1.176630305048836402e-02,-4.234562528706180967e-02
7.943300000000000360e-02,1.212922876347993784e-02,-5.290265638319659874e-02
6.309599999999999931e-02,1.253643810005647223e-02,-6.614347024219735527e-02
5.011899999999999689e-02,1.299333545516737770e-02,-8.275693942286428684e-02
3.981099999999999917e-02,1.350598173057168325e-02,-1.036094505111005842e-01
3.162299999999999833e-02,1.408118416641476571e-02,-1.297911879648117883e-01
2.511899999999999897e-02,1.472657673402724861e-02,-1.626735534679397688e-01
1.995299999999999851e-02,1.545066927155917466e-02,-2.039786688655200464e-01
1.584899999999999851e-02,1.626321386665685598e-02,-2.558859801262831080e-01
1.499999999999999944e-02,1.647174138054677967e-02,-2.701547789776665431e-01
