# freq,Re(Z),Im(Z)
9.999994000000000369e+02,7.446406759139693847e-03,-1.720811482510799858e-04
7.943277000000000498e+02,7.467504029774954880e-03,-1.928698316137812555e-04
6.309569000000000187e+02,7.491150003158908270e-03,-2.161699381526948217e-04
5.011868999999999801e+02,7.517652577022636805e-03,-2.422848620153492919e-04
3.981068999999999960e+02,7.547356864592371511e-03,-2.715546684977930060e-04
3.162275000000000205e+02,7.580649672783010794e-03,-3.043605067361089588e-04
2.511884000000000015e+02,7.617964495634182640e-03,-3.411295301040791965e-04
1.995261000000000138e+02,7.659787144155002538e-03,-3.823404437108729502e-04
1.584892000000000110e+02,7.706662357653715212e-03,-4.285300190275149611e-04
1.258923999999999950e+02,7.759200512878418506e-03,-4.802997048953646297e-04
9.999990999999999985e+01,7.818085517133328138e-03,-5.383234051578944870e-04
7.943274999999999864e+01,7.884084332797563349e-03,-6.033568641446121917e-04
6.309566999999999837e+01,7.958056321098829627e-03,-6.762468768509463744e-04
5.011867000000000161e+01,8.040964690556734462e-03,-7.579424815048810531e-04
3.981067999999999785e+01,8.133888533707136353e-03,-8.495073368814054721e-04
3.162274000000000029e+01,8.238038201391628679e-03,-9.521364792719698954e-04
2.511883999999999872e+01,8.354781318612026011e-03,-1.067164887929630650e-03
1.995260000000000034e+01,8.485639991328418341e-03,-1.196044380983133553e-03
1.584891000000000005e+01,8.632171161126833345e-03,-1.340407797632327215e-03
1.258924000000000021e+01,8.796002726778686526e-03,-1.502470370405931512e-03
9.999988000000000099e+00,8.979652041335633994e-03,-1.685358497230298033e-03
7.943272000000000332e+00,9.187818510920025411e-03,-1.892072783875789433e-03
6.309565000000000090e+00,9.427146839899255143e-03,-2.122676802035329633e-03
5.011866000000000376e+00,9.702565117586653756e-03,-2.371845230922671639e-03
3.981066000000000216e+00,1.001112233860316537e-02,-2.630371739325095774e-03
3.162272999999999890e+00,1.033768646057143734e-02,-2.892382124099754977e-03
2.511883000000000088e+00,1.065740606821479614e-02,-3.165103596490555574e-03
1.995258999999999894e+00,1.094494848963108863e-02,-3.474301654903361094e-03
1.584891000000000050e+00,1.118406692509504863e-02,-3.861529280273558531e-03
1.258923999999999932e+00,1.137105030615819315e-02,-4.376795068705021004e-03
9.999980000000000535e-01,1.151182551162210736e-02,-5.073125859763731940e-03
7.943270000000000053e-01,1.161684214540035891e-02,-6.005957422073392865e-03
6.309559999999999613e-01,1.169711697844216455e-02,-7.236360724657559494e-03
5.011860000000000204e-01,1.176229409671216558e-02,-8.835961263389466303e-03
3.981060000000000154e-01,1.182019026865848213e-02,-1.089248979767689154e-02
3.162269999999999803e-01,1.187706605923980960e-02,-1.351565488588757531e-02
2.511880000000000224e-01,1.193813851929881667e-02,-1.684375289644104989e-02
1.995260000000000089e-01,1.200810426030222283e-02,-2.105129073195606548e-02
1.584889999999999910e-01,1.209161026409056455e-02,-2.635854095351674101e-02
1.258920000000000039e-01,1.219366229307854502e-02,-3.304301951193126807e-02
1.000000000000000056e-01,1.232000180277257814e-02,-4.145382306630116670e-02
7.943300000000000360e-02,1.247749901328797095e-02,-5.203076574083263101e-02
6.309599999999999931e-02,1.267455163417161718e-02,-6.532650753181191983e-02
5.011899999999999689e-02,1.292156447438659247e-02,-8.203586348487258706e-02
3.981099999999999917e-02,1.323151232637033783e-02,-1.030319146738590264e-01
3.162299999999999833e-02,1.362063794538588557e-02,-1.294120245026434690e-01
2.511899999999999897e-02,1.410930446461862789e-02,-1.625548157912739544e-01
1.995299999999999851e-02,1.472301735157893754e-02,-2.041889615269866509e-01
1.584899999999999851e-02,1.549398718817972601e-02,-2.564988716186210049e-01
1.499999999999999944e-02,1.570585922463157286e-02,-2.708751013964358911e-01
