Frequency,Real_Error,Imag_Error
999.9994,4.502224086030612e-05,0.00014407443825108
794.3277,4.0322970225045024e-05,0.00010216830161378126
630.9569,4.589899684109139e-05,7.936593815269482e-05
501.1869,6.101642297736288e-05,6.241776201534928e-05
398.1069,6.259613540762852e-05,3.412906849779301e-05
316.2275,5.9849327216989455e-05,2.809940673610895e-05
251.1884,8.276550436581761e-05,1.4561730104079202e-05
199.5261,6.713285584499743e-05,1.8842743710872976e-05
158.4892,8.314064234628445e-05,7.65991902751498e-06
125.8924,8.241348712158172e-05,4.340695104635393e-06
99.99991,7.898448286667269e-05,1.2748094842105558e-05
79.43275,7.325966720243653e-05,5.615135855387859e-06
63.09567,5.976667890117068e-05,6.591423149053576e-06
50.11867,7.350230944326575e-05,2.472081504881077e-06
39.81068,8.783946629286297e-05,1.4679036881405454e-05
31.62274,0.00010949379860837084,3.074707927196987e-05
25.11884,0.00011312268138797404,1.6203887929630654e-05
19.9526,7.9573008671582e-05,7.148738098313357e-05
15.84891,9.365783887316584e-05,0.00010859679763232724
12.58924,0.00010720627322131394,7.130137040593158e-05
9.999988,3.294395866436546e-05,0.00016147549723029807
7.943272,6.562448907997467e-05,0.00021574978387578947
6.309565,1.193883989925558e-05,0.00025890580203532967
5.011866,5.169511758665313e-05,0.00031770523092267177
3.981066,0.00019115033860316565,0.0003879497393250958
3.162273,0.0002780564605714374,0.000362301124099755
2.511883,0.0004471360682147957,0.0002592665964905555
1.995259,0.0005699884896310878,0.00013662365490336092
1.584891,0.0006219869250950489,1.872028027355855e-05
1.258924,0.0006324603061581939,0.0001388249312949787
0.999998,0.0005497655116221082,0.00033764014023626807
0.794327,0.0004563621454003585,0.00046338757792660674
0.630956,0.0002811469784421653,0.0005775852753424409
0.501186,0.00013020409671216614,0.0006073137366105329
0.398106,1.7159731341517825e-05,0.0005889502023231092
0.316227,0.00019998394076019103,0.0005704951141124251
0.251188,0.0003401414807011841,0.00048152710355894857
0.199526,0.00040185573969777656,0.00042764926804393297
0.158489,0.00045523973590943546,0.0002723990464832578
0.125892,0.0004410777069214552,0.00015541048806873292
0.1,0.0004320181972274212,5.923693369883076e-05
0.079433,0.0003979909867120289,1.0605740832628219e-05
0.063096,0.0003610383658283825,1.9317531811918753e-05
0.050119,0.0002526555256134079,0.00011539348487259182
0.039811,0.00013378767362966226,5.8914673859031264e-05
0.031623,2.9652054614115117e-05,0.0001132245026434775
0.025119,0.00011362446461862796,9.671579127396024e-05
0.019953,0.00022536735157893673,3.246152698666016e-05
0.015849,0.00028510718817972673,1.1128381379010843e-05
0.015,0.00022137922463157274,3.7986035640869e-06
