# freq,Re(Z),Im(Z)
9.999994000000000369e+02,7.444240418370119336e-03,-2.628634259071946377e-05
7.943277000000000498e+02,7.469381370578865968e-03,-8.307252377858228101e-05
6.309569000000000187e+02,7.497251931972507763e-03,-1.350151071876466648e-04
5.011868999999999801e+02,7.528154339881970233e-03,-1.838743722954537107e-04
3.981068999999999960e+02,7.562424862878311220e-03,-2.311350823782870687e-04
3.162275000000000205e+02,7.600437653551023881e-03,-2.780729870325235071e-04
2.511884000000000015e+02,7.642609014701857648e-03,-3.258087574771958441e-04
1.995261000000000138e+02,7.689402193582087555e-03,-3.753521268401958108e-04
1.584892000000000110e+02,7.741333057653454475e-03,-4.276386692478670727e-04
1.258923999999999950e+02,7.798975637022104862e-03,-4.835598607524861019e-04
9.999990999999999985e+01,7.862968731854517654e-03,-5.439890574110088205e-04
7.943274999999999864e+01,7.934024018679730963e-03,-6.098046519063836162e-04
6.309566999999999837e+01,8.012933227692359620e-03,-6.819095449787282350e-04
5.011867000000000161e+01,8.100578552840175320e-03,-7.612516959712220662e-04
3.981067999999999785e+01,8.197950883860841143e-03,-8.488359516624960268e-04
3.162274000000000029e+01,8.306142166968680934e-03,-9.457116299498569394e-04
2.511883999999999872e+01,8.426260284052475638e-03,-1.053032730905920176e-03
1.995260000000000034e+01,8.559485051762509566e-03,-1.172345692669887144e-03
1.584891000000000005e+01,8.707662182140619989e-03,-1.305753154029039948e-03
1.258924000000000021e+01,8.874104429113262998e-03,-1.455099745458170082e-03
9.999988000000000099e+00,9.063201395588665887e-03,-1.620096296304218263e-03
7.943272000000000332e+00,9.277782723114372243e-03,-1.796985768801204414e-03
6.309565000000000090e+00,9.515202224640015305e-03,-1.980043325196216217e-03
5.011866000000000376e+00,9.765197191305585722e-03,-2.166606486601887430e-03
3.981066000000000216e+00,1.001237189921896226e-02,-2.363003473193577876e-03
3.162272999999999890e+00,1.024242827440770796e-02,-2.586923475708951484e-03
2.511883000000000088e+00,1.044753509327819331e-02,-2.864689945086866096e-03
1.995258999999999894e+00,1.062737888711137030e-02,-3.226580294377593642e-03
1.584891000000000050e+00,1.078670633091786263e-02,-3.704088375739413019e-03
1.258923999999999932e+00,1.093216203376077590e-02,-4.330258629102788984e-03
9.999980000000000535e-01,1.107015365105690381e-02,-5.142030768395024383e-03
7.943270000000000053e-01,1.120594499944085540e-02,-6.183356349941980870e-03
6.309559999999999613e-01,1.134352965619011416e-02,-7.508602096227194253e-03
5.011860000000000204e-01,1.148582223318791312e-02,-9.186115254258740703e-03
3.981060000000000154e-01,1.163493026967593082e-02,-1.130231565590970530e-02
3.162269999999999803e-01,1.179238799927440247e-02,-1.396651488397178571e-02
2.511880000000000224e-01,1.195933485995222950e-02,-1.731691958244351015e-02
1.995260000000000089e-01,1.213663020657582484e-02,-2.152797944449005504e-02
1.584889999999999910e-01,1.232493649103807987e-02,-2.681989364709659943e-02
1.258920000000000039e-01,1.252475596477838592e-02,-3.347019469329341052e-02
1.000000000000000056e-01,1.273645059788306930e-02,-4.182832092433547838e-02
7.943300000000000360e-02,1.296027346931952900e-02,-5.233510655504381576e-02
6.309599999999999931e-02,1.319634512819771108e-02,-6.554542272365296296e-02
5.011899999999999689e-02,1.344466009198564890e-02,-8.215818311387507178e-02
3.981099999999999917e-02,1.370507555588159829e-02,-1.030534076719281655e-01
3.162299999999999833e-02,1.397730770297242464e-02,-1.293395260835626948e-01
2.511899999999999897e-02,1.426091869998990375e-02,-1.624120960702934435e-01
1.995299999999999851e-02,1.455529123913421735e-02,-2.040249296809065749e-01
1.584899999999999851e-02,1.485972554674053724e-02,-2.563989120031638924e-01
1.499999999999999944e-02,1.493390036779282740e-02,-2.708084622932216967e-01
