# freq,Re(Z),Im(Z)
9.999994000000000369e+02,7.575050467439974587e-03,-1.444492076111764589e-04
7.943277000000000498e+02,7.592519557604366157e-03,-1.622583110731548421e-04
6.309569000000000187e+02,7.612122888084250916e-03,-1.822860052059381477e-04
5.011868999999999801e+02,7.634121539729954962e-03,-2.048142963667879844e-04
3.981068999999999960e+02,7.658808631675774643e-03,-2.301624208065211217e-04
3.162275000000000205e+02,7.686513257036856929e-03,-2.586920680335995696e-04
2.511884000000000015e+02,7.717604887461744154e-03,-2.908133915230725437e-04
1.995261000000000138e+02,7.752498355286266581e-03,-3.269919958477095798e-04
1.584892000000000110e+02,7.791659711341871949e-03,-3.677573073822485838e-04
1.258923999999999950e+02,7.835612232342250086e-03,-4.137116955744180339e-04
9.999990999999999985e+01,7.884943496629704535e-03,-4.655414434923519805e-04
7.943274999999999864e+01,7.940313923426117748e-03,-5.240301801543302378e-04
6.309566999999999837e+01,8.002465274055920591e-03,-5.900734313880001778e-04
5.011867000000000161e+01,8.072231034415427997e-03,-6.646965964052869123e-04
3.981067999999999785e+01,8.150547924008759437e-03,-7.490758897347477713e-04
3.162274000000000029e+01,8.238468994954169927e-03,-8.445632150021538821e-04
2.511883999999999872e+01,8.337176747710858468e-03,-9.527160327313660563e-04
1.995260000000000034e+01,8.448008027259949412e-03,-1.075335962770726603e-03
1.584891000000000005e+01,8.572479376170371798e-03,-1.214479308921916556e-03
1.258924000000000021e+01,8.712210660738062967e-03,-1.372473564873614819e-03
9.999988000000000099e+00,8.868800306184471474e-03,-1.552226240212275067e-03
7.943272000000000332e+00,9.044291317083487380e-03,-1.757825952077911487e-03
6.309565000000000090e+00,9.242579608808729891e-03,-1.994286050763246967e-03
5.011866000000000376e+00,9.470222041675371849e-03,-2.265203527938545233e-03
3.981066000000000216e+00,9.734056315953549393e-03,-2.569512455135500393e-03
3.162272999999999890e+00,1.003513804346932783e-02,-2.901075725149696288e-03
2.511883000000000088e+00,1.036254071476040359e-02,-3.254387713325560590e-03
1.995258999999999894e+00,1.069292758839871134e-02,-3.635141155448814998e-03
1.584891000000000050e+00,1.099854392952326690e-02,-4.068837511369819381e-03
1.258923999999999932e+00,1.125852832720370886e-02,-4.600972143305815179e-03
9.999980000000000535e-01,1.146519241055189015e-02,-5.290121070428420100e-03
7.943270000000000053e-01,1.162257452451077866e-02,-6.201135491462807930e-03
6.309559999999999613e-01,1.174107532937481227e-02,-7.403437208808967204e-03
5.011860000000000204e-01,1.183260378119512304e-02,-8.974140711716401334e-03
3.981060000000000154e-01,1.190794847896481032e-02,-1.100383493930016596e-02
3.162269999999999803e-01,1.197598969911472210e-02,-1.360331982049764639e-02
2.511880000000000224e-01,1.204389240792666516e-02,-1.691099953784550719e-02
1.995260000000000089e-01,1.211764673317809737e-02,-2.110103032661501954e-02
1.584889999999999910e-01,1.220265889369652121e-02,-2.639317782006136287e-02
1.258920000000000039e-01,1.230427840478910684e-02,-3.306445809825635934e-02
1.000000000000000056e-01,1.242825978779135872e-02,-4.146356271442264152e-02
7.943300000000000360e-02,1.258120039151402504e-02,-5.203005050336680787e-02
6.309599999999999931e-02,1.277094813157370404e-02,-6.531652887011406283e-02
5.011899999999999689e-02,1.300705778743780835e-02,-8.201802645149144921e-02
3.981099999999999917e-02,1.330130056230225712e-02,-1.030081949899736005e-01
3.162299999999999833e-02,1.366827731601260795e-02,-1.293854563916433387e-01
2.511899999999999897e-02,1.412615209516525014e-02,-1.625301668618964190e-01
1.995299999999999851e-02,1.469751738057035323e-02,-2.041736697455707739e-01
1.584899999999999851e-02,1.541073029510300896e-02,-2.565043529061463157e-01
1.499999999999999944e-02,1.560598304148550289e-02,-2.708878332864452787e-01
