Frequency,Real_Error,Imag_Error
999.9994,8.362146743997462e-05,0.00011644249761117646
794.3277,8.469255760436625e-05,7.155678107315485e-05
630.9569,7.507388808425126e-05,4.548200520593815e-05
501.1869,5.545253972995528e-05,2.4947196366787973e-05
398.1069,4.8855631675774613e-05,7.263179193478877e-06
316.2275,4.601425703685668e-05,1.756903196640044e-05
251.1884,1.6874887461743905e-05,3.575440847692745e-05
199.5261,2.557835528626661e-05,3.6505704152290394e-05
158.4892,1.8567113418722914e-06,5.31127926177514e-05
125.8924,6.001767657750137e-06,7.092870442558199e-05
99.99991,1.212650337029629e-05,8.553005650764806e-05
79.43275,1.7030076573882127e-05,8.494181984566981e-05
63.09567,1.535772594407972e-05,9.276486861199977e-05
50.11867,4.223596558457221e-05,9.077380359471306e-05
39.81068,7.118007599123989e-05,8.575241026525225e-05
31.62274,0.0001090630050458296,7.682618499784614e-05
25.11884,0.0001307272522891416,9.824496726863394e-05
19.9526,0.00011720497274005093,4.9221037229273384e-05
15.84891,0.00015334962382962739,1.7331691078083418e-05
12.58924,0.0001909983392619375,5.869543512638511e-05
9.999988,0.00014379569381552798,2.8343240212275102e-05
7.943272,0.0002091516829165127,8.150295207791152e-05
6.309565,0.00017262839119126967,0.000130515050763247
5.011866,0.00018064795832462878,0.00021106352793854536
3.981066,8.591568404645034e-05,0.0003270904551355004
3.162273,2.4491956530672127e-05,0.0003709947251496963
2.511883,0.00015227071476040313,0.0003485507133255605
1.995259,0.00031796758839871056,0.0002974631554488148
1.584891,0.00043646392952326717,0.0002260285113698194
1.258924,0.0005199383272037096,8.535214330581548e-05
0.999998,0.000503132410551891,0.00012064492957157991
0.794327,0.00046209452451077826,0.0002682095085371917
0.630956,0.000325105329374813,0.00041050879119103323
0.501186,0.0002005137811951236,0.0004691342882835979
0.398106,7.059847896481036e-05,0.0004776050606998348
0.316227,0.00010106030088527854,0.000482830179502354
0.251188,0.00023438759207333563,0.00041428046215449127
0.199526,0.000292313266821902,0.0003779096733849789
0.158489,0.0003441911063034788,0.0002377621799386359
0.125892,0.00033046159521089337,0.00013397190174364165
0.1,0.0003237602122086406,4.949728557735594e-05
0.079433,0.0002942896084859748,9.890503366805081e-06
0.063096,0.00026464186842629564,9.33887011406176e-06
0.050119,0.00016716221256219202,9.755645149145398e-05
0.039811,6.399943769774298e-05,3.519498997360537e-05
0.031623,1.7987316012607266e-05,8.665639164334715e-05
0.025119,0.0001304720951652502,7.206686189642486e-05
0.019953,0.00019986738057035242,1.71697455707831e-05
0.015849,0.00020185029510300968,5.6470938537001025e-06
0.015,0.00012150304148550277,8.93328644530067e-06
