Experiment:, 100%-SOC_Multiplexer_ChargedDischarged
Start date:, Wednesday, June 19, 2024
Start time:, 6:34:01 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 2.961445, -0.02251182, , -0.02251182, 100000, 0.001629323, 0.00104632, 0.1154003, -0.05216902, 0.008319733, 0.01282798, 0.0152897, 57.03411, 0, 1
1, 2.961445, -0.02251182, , -0.02251182, 79432.82, 0.001140258, 0.001072303, 0.1180877, -0.01575743, 0.008296601, 0.01018764, 0.01313856, 50.84135, 0, 1
1, 2.961445, -0.02251182, , -0.02251182, 63095.73, 0.001293623, -0.0001321888, 0.07162797, -0.08628491, 0.008275154, 0.008122974, 0.01159573, 44.46829, 0, 1
1, 2.961445, -0.02251182, , -0.02251182, 50118.72, -0.0007563575, -0.0008348083, -0.1052814, -0.01777302, 0.008286576, 0.006530408, 0.01055052, 38.24061, 0, 1
2, 2.961445, -0.0003641238, , -0.02287594, 39810.71, -0.0008007915, 0.0006343981, -0.03318544, 0.0980139, 0.008288614, 0.005363834, 0.009872782, 32.90823, 0, 1
2, 2.961445, -0.0003641238, , -0.02287594, 31622.77, 0.0009382946, 0.000215504, 0.09863757, -0.02841373, 0.008202543, 0.004547647, 0.009378849, 29.00482, 0, 1
2, 2.961445, -0.0003641238, , -0.02287594, 25118.86, -0.0005535224, -0.0007291066, -0.09366634, -0.0465712, 0.007841323, 0.003885353, 0.008751132, 26.35829, 0, 1
2, 2.961445, -0.0003641238, , -0.02287594, 19952.62, 0.0001052825, 0.0008449616, 0.05112043, 0.09279769, 0.00746501, 0.00297779, 0.008037014, 21.74704, 0, 1
3, 2.961445, 0.02054443, , -0.002331515, 15848.93, 0.0007610868, 0.0002802386, 0.1038894, 0.00721824, 0.007477257, 0.002177951, 0.007787993, 16.23961, 0, 1
3, 2.961445, 0.02054443, , -0.002331515, 12589.25, 0.0007682605, 0.0001984281, 0.1023295, 0.003640562, 0.007567122, 0.001669895, 0.007749186, 12.44445, 0, 1
3, 2.961445, 0.02054443, , -0.002331515, 9999.997, 0.0007641558, -0.0001707531, 0.09364606, -0.03866021, 0.007614968, 0.001320324, 0.007728583, 9.836462, 0, 1
3, 2.961445, 0.02054443, , -0.002331515, 7943.28, 0.0007727424, 7.359817e-05, 0.1006187, -0.004200918, 0.007636059, 0.001050268, 0.007707947, 7.831361, 0, 1
4, 2.961445, 0.0007338496, , -0.001597665, 6309.571, 0.0003512916, -0.0006858694, 0.03585474, -0.09369469, 0.007636708, 0.0008269355, 0.007681349, 6.180153, 0, 1
4, 2.961445, 0.0007338496, , -0.001597665, 5011.871, 0.0001317875, -0.0007539666, 0.008877271, -0.09966022, 0.00762268, 0.0006433755, 0.007649783, 4.824489, 0, 1
4, 2.961445, 0.0007338496, , -0.001597665, 3981.07, -2.998912e-05, 0.0007629959, 0.002433058, 0.09988499, 0.007626906, 0.0004860172, 0.007642375, 3.646188, 0, 1
4, 2.961445, 0.0007338496, , -0.001597665, 3162.276, -0.0007618044, 3.931475e-05, -0.09934822, 0.009693036, 0.007633964, 0.0003490906, 0.007641941, 2.618233, 0, 1
5, 2.961046, -0.005038354, , -0.006636019, 2511.885, -0.000468038, 0.0006024678, -0.05872982, 0.08061606, 0.007645284, 0.0002360794, 0.007648928, 1.768679, 0, 1
5, 2.961046, -0.005038354, , -0.006636019, 1995.261, 0.0005930149, -0.0004830811, 0.07597253, -0.06458274, 0.007669055, 0.0001606832, 0.007670739, 1.200294, 0, 1
5, 2.961046, -0.005038354, , -0.006636019, 1584.892, 3.081114e-05, -0.0007650811, 0.003212748, -0.09963759, 0.007680624, 6.157543e-05, 0.007680871, 0.4593294, 0, 1
5, 2.961046, -0.005038354, , -0.006636019, 1258.925, 0.0004654386, 0.0006097221, 0.06035893, 0.07929084, 0.007697575, -1.035611e-05, 0.007697582, -0.07708413, 0, 1
6, 2.961046, 0.02034052, , 0.0137045, 999.9994, 0.0001272154, 0.0007586266, 0.01584463, 0.09838237, 0.007719039, -4.990769e-05, 0.007719201, -0.3704424, 0, 1
6, 2.961046, 0.02034052, , 0.0137045, 794.3277, -0.0003482453, -0.0006894563, -0.04370558, -0.08955781, 0.007750294, -0.0001062356, 0.007751022, -0.785321, 0, 1
6, 2.961046, 0.02034052, , 0.0137045, 630.9569, -0.0006498576, 0.0004209958, -0.08461318, 0.0525893, 0.007770902, -0.0001457167, 0.007772269, -1.07426, 0, 1
6, 2.961046, 0.02034052, , 0.0137045, 501.1869, -0.0001948546, -0.0007563198, -0.022545, -0.09704314, 0.007837135, -0.0001871988, 0.007839371, -1.368314, 0, 1
6, 2.961046, 0.02034052, , 0.0137045, 398.1069, -0.0004516917, -0.0006383867, -0.05493992, -0.08311764, 0.007845028, -0.0002488813, 0.007848975, -1.817083, 0, 1
