Experiment:, 100%-SOC_Multiplexer_LastAttempt
Start date:, Wednesday, June 19, 2024
Start time:, 7:15:12 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 2.923493, -0.02640178, , -0.02640178, 100000, -0.0004614993, -0.001924552, -0.11952, -0.04190174, 0.008465945, 0.01313432, 0.01562634, 57.19552, 0, 1
1, 2.923493, -0.02640178, , -0.02640178, 79432.82, 0.0006896867, 0.00144401, 0.1158957, 0.02759922, 0.008439428, 0.01044981, 0.01343215, 51.07513, 0, 1
1, 2.923493, -0.02640178, , -0.02640178, 63095.73, 0.001130367, -0.0007014343, 0.02593619, -0.1090989, 0.008416775, 0.008360007, 0.01186304, 44.80613, 0, 1
2, 2.923094, -0.00179149, , -0.02819327, 50118.72, 0.0006302286, -0.0009653846, -0.01039627, -0.1062673, 0.00842367, 0.006754694, 0.01079741, 38.7251, 0, 1
2, 2.923094, -0.00179149, , -0.02819327, 39810.71, 0.0004552218, -0.0009399807, -0.01402447, -0.1025263, 0.008403603, 0.005589572, 0.01009276, 33.62947, 0, 1
2, 2.923094, -0.00179149, , -0.02819327, 31622.77, -0.0009814986, -1.23216e-05, -0.08944905, 0.05036686, 0.008272339, 0.004795728, 0.009561935, 30.10218, 0, 1
2, 2.923094, -0.00179149, , -0.02819327, 25118.86, 0.0004044996, 0.00083063, 0.08441925, 0.06176832, 0.007809786, 0.004125039, 0.008832254, 27.8425, 0, 1
3, 2.922694, -0.008849891, , -0.03704317, 19952.62, -0.0006375978, 0.0005582828, -0.04633131, 0.09526542, 0.007371691, 0.003107714, 0.007999982, 22.85903, 0, 1
3, 2.922694, -0.008849891, , -0.03704317, 15848.93, -0.0007729053, 0.0002274658, -0.0872205, 0.0568835, 0.007410416, 0.002224988, 0.007737237, 16.71246, 0, 1
3, 2.922694, -0.008849891, , -0.03704317, 12589.25, -0.0004714747, 0.0006351222, -0.04162615, 0.09354007, 0.007539727, 0.001685106, 0.007725741, 12.59839, 0, 1
3, 2.922694, -0.008849891, , -0.03704317, 9999.997, -0.0002034752, 0.0007557911, -0.009149952, 0.1008923, 0.007611365, 0.001326479, 0.007726087, 9.885998, 0, 1
3, 2.922694, -0.008849891, , -0.03704317, 7943.28, 0.0005768101, 0.0005206553, 0.0832751, 0.05662103, 0.007643859, 0.001054963, 0.007716316, 7.858002, 0, 1
4, 2.922694, -0.0004268653, , -0.03747003, 6309.571, 0.0007504904, -0.0001811781, 0.09439125, -0.03396076, 0.007651034, 0.0008333063, 0.00769628, 6.215824, 0, 1
4, 2.922694, -0.0004268653, , -0.03747003, 5011.871, 0.0006054205, -0.000469539, 0.0735852, -0.06778515, 0.007630444, 0.0006481172, 0.00765792, 4.854955, 0, 1
4, 2.922694, -0.0004268653, , -0.03747003, 3981.07, -0.0006776233, 0.0003542165, -0.08531705, 0.05198863, 0.007636691, 0.0005017121, 0.007653153, 3.758793, 0, 1
5, 2.923094, -0.000834684, , -0.03830471, 3162.276, -0.0006359696, -0.0004232739, -0.08561653, -0.05131105, 0.00764509, 0.0003620365, 0.007653658, 2.71124, 0, 1
5, 2.923094, -0.000834684, , -0.03830471, 2511.885, -0.0007130689, -0.0002741422, -0.09422584, -0.03269048, 0.007655575, 0.0002534103, 0.007659768, 1.895879, 0, 1
5, 2.923094, -0.000834684, , -0.03830471, 1995.261, -0.0001045158, 0.0007582105, -0.01164798, 0.09902656, 0.0076746, 0.000152709, 0.007676119, 1.13992, 0, 1
5, 2.923094, -0.000834684, , -0.03830471, 1584.892, 0.0007662145, -1.860223e-05, 0.09963565, -0.003210782, 0.007688197, 6.105137e-05, 0.00768844, 0.4549717, 0, 1
6, 2.923094, 0.005768842, , -0.03253587, 1258.925, -0.0006222187, 0.000447946, -0.08091805, 0.05815343, 0.007694035, -6.321571e-06, 0.007694038, -0.04707533, 0, 1
6, 2.923094, 0.005768842, , -0.03253587, 999.9994, -0.0007552128, 0.0001472318, -0.09794483, 0.01833382, 0.007721427, -5.787456e-05, 0.007721644, -0.4294421, 0, 1
6, 2.923094, 0.005768842, , -0.03253587, 794.3277, 0.0007601446, -0.0001419633, 0.09818833, -0.01699199, 0.007759525, -0.0001030012, 0.007760209, -0.7605087, 0, 1
6, 2.923094, 0.005768842, , -0.03253587, 630.9569, -0.0002283842, -0.0007430394, -0.02749799, -0.09575281, 0.007801536, -0.0001447231, 0.007802878, -1.062749, 0, 1
6, 2.923094, 0.005768842, , -0.03253587, 501.1869, 0.0007782922, 5.100746e-05, 0.09922391, 0.008919072, 0.007826766, -0.0001894708, 0.007829059, -1.386749, 0, 1
6, 2.923094, 0.005768842, , -0.03253587, 398.1069, 0.000708592, -0.0003301075, 0.09148502, -0.0394596, 0.007842736, -0.0002255703, 0.00784598, -1.647469, 0, 1
6, 2.923094, 0.005768842, , -0.03253587, 316.2275, -0.0007275779, 0.0002942125, -0.09354417, 0.03424301, 0.007874095, -0.0002627608, 0.007878478, -1.911268, 0, 1
7, 2.923094, -0.001038593, , -0.03357447, 251.1884, -0.0001893109, -0.0007676034, -0.02000261, -0.0975954, 0.007929626, -0.0003145396, 0.007935862, -2.271526, 0, 1
7, 2.923094, -0.001038593, , -0.03357447, 199.5261, 0.0001173436, -0.0007869566, 0.01887608, -0.09782606, 0.007978834, -0.000340047, 0.007986077, -2.440391, 0, 1
7, 2.923094, -0.001038593, , -0.03357447, 158.4892, -0.0006479819, -0.0004707937, -0.07770997, -0.06231306, 0.00803197, -0.0003822284, 0.00804106, -2.724558, 0, 1
7, 2.923094, -0.001038593, , -0.03357447, 125.8924, -0.0002088025, 0.0007779041, -0.03112917, 0.09463508, 0.008072373, -0.0004489215, 0.008084846, -3.18306, 0, 1
7, 2.923094, -0.001038593, , -0.03357447, 99.99991, -0.0005517927, 0.0005948872, -0.07207611, 0.06879387, 0.008128447, -0.0004953084, 0.008143524, -3.487017, 0, 1
7, 2.923094, -0.001038593, , -0.03357447, 79.43275, -0.0003386524, 0.0007405349, -0.04740495, 0.08760103, 0.008156843, -0.0005481938, 0.008175243, -3.844873, 0, 1
7, 2.923094, -0.001038593, , -0.03357447, 63.09567, 0.0002900479, 0.0007703721, 0.02826222, 0.09551606, 0.008242263, -0.0005978395, 0.008263916, -4.148594, 0, 1
8, 2.923094, -0.001038593, , -0.03461306, 50.11867, -1.946364e-05, 0.0008326035, -0.01043532, 0.09907947, 0.008331659, -0.0006810685, 0.00835945, -4.673232, 0, 1
8, 2.923094, -0.001038593, , -0.03461306, 39.81068, -2.525622e-05, -0.000839503, 0.006183319, -0.09941765, 0.008395927, -0.0007762295, 0.008431733, -5.282157, 0, 1
8, 2.923094, -0.001038593, , -0.03461306, 31.62274, -0.0002895652, -0.0008017598, -0.02428136, -0.09661413, 0.00851405, -0.0008573534, 0.008557109, -5.750224, 0, 1
8, 2.923094, -0.001038593, , -0.03461306, 25.11884, -0.0005857014, 0.000635458, -0.07538152, 0.06513951, 0.008618632, -0.0009822637, 0.008674426, -6.501933, 0, 1
8, 2.923094, -0.001038593, , -0.03461306, 19.9526, -0.0006185691, -0.0006225715, -0.06133985, -0.07846803, 0.008749654, -0.001043312, 0.008811636, -6.799864, 0, 1
8, 2.923094, -0.001038593, , -0.03461306, 15.84891, -0.0006911347, -0.0005636815, -0.06829214, -0.07250804, 0.008876972, -0.001171004, 0.008953875, -7.514775, 0, 1
9, 2.922694, 0.003416043, , -0.03119702, 12.58924, -0.000866455, 0.0002733572, -0.09834617, 0.01590192, 0.009023766, -0.001320458, 0.009119866, -8.325069, 0, 1
9, 2.922694, 0.003416043, , -0.03119702, 9.999988, 0.0007929034, 0.0004805024, 0.07607153, 0.06431146, 0.009192849, -0.001455251, 0.009307321, -8.995418, 0, 1
9, 2.922694, 0.003416043, , -0.03119702, 7.943272, -0.0008298623, -0.0004641628, -0.07761719, -0.06246379, 0.009409984, -0.001592695, 0.009543818, -9.606605, 0, 1
9, 2.922694, 0.003416043, , -0.03119702, 6.309565, 0.000969539, 2.752845e-05, 0.09742443, 0.02089764, 0.009571903, -0.001770621, 0.009734292, -10.48017, 0, 1
9, 2.922694, 0.003416043, , -0.03119702, 5.011866, -0.0004489264, 0.0008904204, -0.06150245, 0.07837458, 0.009813114, -0.001972632, 0.01000942, -11.36611, 0, 1
10, 2.923094, -0.009414563, , -0.04061158, 3.981066, -0.0009171551, -0.0004613169, -0.07809789, -0.06188114, 0.01008955, -0.002087587, 0.01030326, -11.68987, 0, 1
10, 2.923094, -0.009414563, , -0.04061158, 3.162273, 8.546449e-05, -0.001057227, 0.03013861, -0.09497241, 0.01037291, -0.002391857, 0.0106451, -12.9847, 0, 1
11, 2.923094, -0.007281357, , -0.04789294, 2.511883, 0.0009820051, -0.000466893, 0.0975392, -0.02028752, 0.01060464, -0.002581026, 0.01091421, -13.67906, 0, 1
11, 2.923094, -0.007281357, , -0.04789294, 1.995259, 0.001050186, 0.0003888337, 0.08175748, 0.05695603, 0.01087872, -0.002822681, 0.01123896, -14.54566, 0, 1
12, 2.923493, 0.008419666, , -0.03947327, 1.584891, 0.0006850971, 0.0009346444, 0.03483795, 0.093352, 0.0111921, -0.003162087, 0.01163022, -15.7765, 0, 1
13, 2.923094, 0.004780666, , -0.0346926, 1.258924, 0.0002150325, 0.001171644, -0.0120278, 0.09889507, 0.01141406, -0.003562548, 0.01195711, -17.33415, 0, 1
14, 2.922694, -0.02600965, , -0.06070226, 0.999998, -0.0002756321, 0.001193686, -0.05314049, 0.08429101, 0.01160898, -0.004048766, 0.01229475, -19.22681, 0, 1
15, 2.923094, -0.02505284, , -0.0857551, 0.794327, -0.0006032742, 0.001115976, -0.07616246, 0.06424589, 0.01184938, -0.004657169, 0.01273174, -21.45634, 0, 1
16, 2.923893, 0.06471433, , -0.02104077, , , , , , , , , , 0, 1
