Experiment:, 100%-SOC_Multiplexer_ChargedDischarged_NoArbinHooks
Start date:, Wednesday, June 19, 2024
Start time:, 6:46:04 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 2.949061, -0.001650322, , -0.001650322, 100000, -0.0005477067, 0.001501718, 0.06662893, 0.09458051, 0.007885026, 0.01134565, 0.01381656, 55.20139, 0, 1
1, 2.949061, -0.001650322, , -0.001650322, 79432.82, -0.001221284, 0.0001006239, -0.06130279, 0.08310077, 0.007804933, 0.008938778, 0.01186671, 48.87402, 0, 1
1, 2.949061, -0.001650322, , -0.001650322, 63095.73, 0.0004308234, -0.0008918528, -0.02684172, -0.09087645, 0.007738538, 0.007026453, 0.01045256, 42.23888, 0, 1
1, 2.949061, -0.001650322, , -0.001650322, 50118.72, -0.0004786821, -0.0006999024, -0.08375701, -0.03058515, 0.00773513, 0.005531744, 0.009509597, 35.57029, 0, 1
2, 2.949461, -0.00088174, , -0.002532062, 39810.71, 4.751888e-05, 0.000760801, 0.04660747, 0.07194426, 0.007750162, 0.004360273, 0.008892524, 29.36228, 0, 1
2, 2.949461, -0.00088174, , -0.002532062, 31622.77, 0.0005461158, -0.0004590043, 0.03683475, -0.07514413, 0.007797244, 0.003445462, 0.008524566, 23.83978, 0, 1
2, 2.949461, -0.00088174, , -0.002532062, 25118.86, 0.0006717581, -0.0001218089, 0.07158079, -0.04070369, 0.007822766, 0.002746638, 0.00829094, 19.3466, 0, 1
2, 2.949461, -0.00088174, , -0.002532062, 19952.62, 0.0006380925, -0.0001750337, 0.06977485, -0.0420524, 0.007817374, 0.00220288, 0.008121823, 15.73745, 0, 1
3, 2.949461, -0.02713899, , -0.02967105, 15848.93, -0.0005474024, 0.0003469276, -0.05696715, 0.0574819, 0.007806183, 0.001786761, 0.008008059, 12.89237, 0, 1
3, 2.949461, -0.02713899, , -0.02967105, 12589.25, 0.0006325553, 8.555353e-05, 0.08044722, -0.004080844, 0.007788995, 0.001458586, 0.007924388, 10.6065, 0, 1
3, 2.949461, -0.02713899, , -0.02967105, 9999.997, 0.0004827806, -0.0004048663, 0.05303112, -0.06027824, 0.007758121, 0.001183824, 0.007847922, 8.675932, 0, 1
3, 2.949461, -0.02713899, , -0.02967105, 7943.28, -0.0006037763, -0.000157004, -0.07944783, -0.01044877, 0.007725927, 0.0009600961, 0.007785353, 7.083795, 0, 1
4, 2.94986, 0.001392634, , -0.02827842, 6309.571, -0.0002702546, 0.0005564928, -0.02764909, 0.0750846, 0.007693694, 0.0007662154, 0.007731754, 5.687337, 0, 1
4, 2.94986, 0.001392634, , -0.02827842, 5011.871, -0.0005742927, 0.0002173985, -0.07229871, 0.03404217, 0.007660751, 0.0006001493, 0.007684223, 4.479448, 0, 1
4, 2.94986, 0.001392634, , -0.02827842, 3981.07, -0.0005533652, 0.0002607949, -0.07010528, 0.03826348, 0.007646016, 0.0004531517, 0.007659432, 3.391746, 0, 1
4, 2.94986, 0.001392634, , -0.02827842, 3162.276, -0.0003915498, -0.0004678112, -0.05374076, -0.05904183, 0.00763454, 0.0003173375, 0.007641132, 2.380188, 0, 1
5, 2.94986, -0.003767842, , -0.03204626, 2511.885, -0.0004432623, -0.0004209559, -0.059438, -0.05324168, 0.00765742, 0.0002231222, 0.00766067, 1.669015, 0, 1
5, 2.94986, -0.003767842, , -0.03204626, 1995.261, -0.0003066946, 0.000527983, -0.0387532, 0.06974962, 0.007650917, 0.0001461946, 0.007652314, 1.094681, 0, 1
5, 2.94986, -0.003767842, , -0.03204626, 1584.892, 0.0005103758, 0.0003405041, 0.06669449, 0.04379428, 0.007689392, 5.626823e-05, 0.007689598, 0.4192626, 0, 1
5, 2.94986, -0.003767842, , -0.03204626, 1258.925, -0.0005338785, 0.000302245, -0.06949314, 0.03914846, 0.007691622, -1.625822e-05, 0.007691639, -0.1211092, 0, 1
6, 2.949461, 0.001941621, , -0.03010464, 999.9994, -0.0006047135, -0.0001151771, -0.0782344, -0.01555245, 0.0077172, -6.191996e-05, 0.007717448, -0.4597103, 0, 1
6, 2.949461, 0.001941621, , -0.03010464, 794.3277, 0.0005980096, -0.0001636944, 0.07723563, -0.01994157, 0.00777179, -0.0001128064, 0.007772609, -0.8315813, 0, 1
6, 2.949461, 0.001941621, , -0.03010464, 630.9569, -7.658106e-05, -0.0006156435, -0.008220617, -0.07932414, 0.00777763, -0.0001593985, 0.007779263, -1.174083, 0, 1
6, 2.949461, 0.001941621, , -0.03010464, 501.1869, 0.0006138792, 0.0001005268, 0.07837098, 0.01477745, 0.007797619, -0.0001875972, 0.007799875, -1.378171, 0, 1
6, 2.949461, 0.001941621, , -0.03010464, 398.1069, 0.0005942606, -0.0001933622, 0.07651715, -0.02250234, 0.00783217, -0.0002237412, 0.007835365, -1.636321, 0, 1
6, 2.949461, 0.001941621, , -0.03010464, 316.2275, -0.0006213762, 9.614296e-05, -0.07917562, 0.009487894, 0.007880425, -0.0002699608, 0.007885048, -1.962022, 0, 1
7, 2.949461, -0.0009601667, , -0.03106481, 251.1884, -9.465922e-05, -0.0006240802, -0.008845663, -0.07926057, 0.007908562, -0.000311665, 0.007914701, -2.256776, 0, 1
7, 2.949461, -0.0009601667, , -0.03106481, 199.5261, 0.0001535108, -0.0006173537, 0.02263479, -0.07647977, 0.007968221, -0.0003510503, 0.00797595, -2.522608, 0, 1
7, 2.949461, -0.0009601667, , -0.03106481, 158.4892, -0.000456022, -0.0004488033, -0.0539181, -0.05874776, 0.008013579, -0.0004075906, 0.008023938, -2.911697, 0, 1
7, 2.949461, -0.0009601667, , -0.03106481, 125.8924, -0.0002381384, 0.0005988477, -0.03351332, 0.0723689, 0.008068479, -0.0004458138, 0.008080786, -3.162591, 0, 1
7, 2.949461, -0.0009601667, , -0.03106481, 99.99991, -0.0004981002, 0.0004149232, -0.06426247, 0.04724567, 0.008112849, -0.0004921411, 0.008127762, -3.471419, 0, 1
7, 2.949461, -0.0009601667, , -0.03106481, 79.43275, -0.0003206442, 0.0005682661, -0.04377742, 0.06664184, 0.008164605, -0.0005519237, 0.008183239, -3.867286, 0, 1
8, 2.949461, -0.0005209773, , -0.03158579, 63.09567, 0.0001844674, 0.0006313049, 0.01658399, 0.07799465, 0.008225231, -0.0006161992, 0.00824828, -4.284352, 0, 1
8, 2.949461, -0.0005209773, , -0.03158579, 50.11867, 0.000104429, 0.0006566874, 0.00593783, 0.0795313, 0.008308687, -0.0006927262, 0.008337515, -4.76594, 0, 1
