Experiment:, 20%-SOC_Multiplexer-85mA
Start date:, Thursday, June 20, 2024
Start time:, 7:07:59 AM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.5991428, -0.006183384, , -0.006183384, 100000, 0.001295216, -0.0007508541, 0.01264404, -0.1086738, 0.008185131, 0.01096606, 0.01368396, 53.26212, 1, 1
1, 0.5991428, -0.006183384, , -0.006183384, 79432.82, -0.001145418, 0.000433007, -0.03929566, 0.09438255, 0.008216272, 0.008715104, 0.01197749, 46.68756, 1, 1
1, 0.5991428, -0.006183384, , -0.006183384, 63095.73, 0.0006061466, 0.0008392943, 0.09309282, 0.02298641, 0.008235253, 0.006982229, 0.0107968, 40.29282, 1, 1
1, 0.5991428, -0.006183384, , -0.006183384, 50118.72, -1.858464e-05, 0.0009127169, 0.04987435, 0.07610692, 0.008277723, 0.005668744, 0.01003271, 34.40409, 1, 1
2, 0.6027272, -0.001195447, , -0.007378831, 39810.71, -0.0006915311, 0.0004820187, -0.03758552, 0.07976703, 0.00828772, 0.004764284, 0.009559535, 29.8929, 1, 1
2, 0.6027272, -0.001195447, , -0.007378831, 31622.77, 0.00019092, 0.0007780434, 0.05736325, 0.06592527, 0.008150726, 0.004196147, 0.009167441, 27.24026, 1, 1
2, 0.6027272, -0.001195447, , -0.007378831, 25118.86, -0.0002908607, -0.0006940966, -0.06673023, -0.05889207, 0.007610714, 0.003684774, 0.008455799, 25.83423, 1, 1
3, 0.602883, 0.02848121, , 0.02110238, 19952.62, -0.0005121054, 0.0004561476, -0.0417221, 0.07982951, 0.007121497, 0.002693009, 0.007613673, 20.71422, 1, 1
3, 0.602883, 0.02848121, , 0.02110238, 15848.93, 0.0003840573, -0.0005341097, 0.03225545, -0.08239841, 0.007202857, 0.00184137, 0.0074345, 14.34021, 1, 1
3, 0.602883, 0.02848121, , 0.02110238, 12589.25, -0.0003320768, -0.0005612065, -0.0571733, -0.06558779, 0.007369909, 0.001361308, 0.007494579, 10.46524, 1, 1
3, 0.602883, 0.02848121, , 0.02110238, 9999.997, -0.0005389371, -0.0003618302, -0.07751199, -0.03749783, 0.007464321, 0.001057054, 0.007538796, 8.060302, 1, 1
3, 0.602883, 0.02848121, , 0.02110238, 7943.28, -0.0005478106, -0.0003448283, -0.0770357, -0.0373209, 0.007515717, 0.0008351318, 0.007561974, 6.340584, 1, 1
4, 0.6025713, -0.001603266, , 0.01949911, 6309.571, -0.0005722003, 0.0002965462, -0.07201923, 0.04565477, 0.00752953, 0.0006555569, 0.007558014, 4.975897, 1, 1
4, 0.6025713, -0.001603266, , 0.01949911, 5011.871, -0.0006231293, -0.000152883, -0.08377079, -0.01465616, 0.00752739, 0.0005080577, 0.007544517, 3.861295, 1, 1
