Experiment:, 80%-SOC_Multiplexer-130mA
Start date:, Wednesday, June 19, 2024
Start time:, 9:46:48 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 2.377915, -0.01206538, , -0.01206538, 100000, 0.001449291, -0.001705194, -0.03342244, -0.1587299, 0.008445743, 0.01090889, 0.01379618, 52.25271, 1, 1
1, 2.377915, -0.01206538, , -0.01206538, 79432.82, 0.001440596, -0.001186503, 0.01268587, -0.1535822, 0.008442706, 0.008682601, 0.01211061, 45.80256, 1, 1
1, 2.377915, -0.01206538, , -0.01206538, 63095.73, -0.0009623128, 0.001271986, 0.00620881, 0.1455694, 0.008440695, 0.006970693, 0.01094696, 39.55138, 1, 1
1, 2.377915, -0.01206538, , -0.01206538, 50118.72, 0.0007608824, 0.001196747, 0.1273411, 0.05594053, 0.008469235, 0.005677451, 0.01019615, 33.83639, 1, 1
2, 2.389136, 0.0005613111, , -0.01150407, 39810.71, 0.0003991513, -0.001250437, -0.02753006, -0.1321961, 0.00846313, 0.00478185, 0.009720631, 29.46738, 1, 1
2, 2.389136, 0.0005613111, , -0.01150407, 31622.77, 0.0009783666, 0.0007747508, 0.1313819, 0.02665221, 0.008301373, 0.004212916, 0.009309213, 26.90763, 1, 1
2, 2.389136, 0.0005613111, , -0.01150407, 25118.86, -0.0004275568, -0.001093389, -0.09971483, -0.09354889, 0.007751987, 0.003692522, 0.008586503, 25.46997, 1, 1
2, 2.389136, 0.0005613111, , -0.01150407, 19952.62, -0.0002553951, -0.001046035, -0.07810777, -0.1148116, 0.007262805, 0.002716506, 0.007754208, 20.5073, 1, 1
3, 2.388824, -0.04865927, , -0.06016335, 15848.93, -0.0001427615, 0.001022723, 0.01518433, 0.1356683, 0.007328824, 0.001872543, 0.007564263, 14.33265, 1, 1
3, 2.388824, -0.04865927, , -0.06016335, 12589.25, 0.0009509659, -0.0003759696, 0.113585, -0.07145109, 0.007490439, 0.001401861, 0.007620491, 10.60047, 1, 1
3, 2.388824, -0.04865927, , -0.06016335, 9999.997, 0.0008633193, 0.0005373029, 0.1217046, 0.0530023, 0.007578813, 0.001114242, 0.007660283, 8.363743, 1, 1
3, 2.388824, -0.04865927, , -0.06016335, 7943.28, 0.0002904246, 0.0009689271, 0.05254183, 0.1210186, 0.00761327, 0.000905568, 0.007666937, 6.783233, 1, 1
4, 2.389136, -0.003407079, , -0.06357042, 6309.571, -0.0009605841, -0.0003002363, -0.1286327, -0.02692422, 0.007622256, 0.0007386379, 0.007657962, 5.534989, 1, 1
4, 2.389136, -0.003407079, , -0.06357042, 5011.871, 0.0001534419, -0.0009863058, 0.01004125, -0.1306816, 0.007592787, 0.0005907553, 0.007615734, 4.448924, 1, 1
4, 2.389136, -0.003407079, , -0.06357042, 3981.07, 0.000523396, 0.0008440937, 0.07562783, 0.1068164, 0.007574523, 0.0004629325, 0.007588657, 3.497398, 1, 1
5, 2.389136, -0.003595303, , -0.06716572, 3162.276, -0.0009450167, 0.0002896567, -0.1231274, 0.04401437, 0.007551139, 0.0003468106, 0.007559099, 2.629647, 1, 1
5, 2.389136, -0.003595303, , -0.06716572, 2511.885, -0.0004526857, 0.0008790365, -0.0562408, 0.1179249, 0.007564434, 0.0002311289, 0.007567965, 1.75011, 1, 1
5, 2.389136, -0.003595303, , -0.06716572, 1995.261, 0.0005809827, -0.0008005732, 0.07451738, -0.1072679, 0.007571795, 0.0001561734, 0.007573405, 1.181597, 1, 1
5, 2.389136, -0.003595303, , -0.06716572, 1584.892, -0.0005613298, -0.0008159775, -0.07518489, -0.1067692, 0.007583951, 8.306409e-05, 0.007584406, 0.6275134, 1, 1
6, 2.38898, -0.02677823, , -0.09394396, 1258.925, 0.0009726585, 0.0001878119, 0.1282141, 0.02447477, 0.007589279, 1.611407e-05, 0.007589296, 0.1216541, 1, 1
