Experiment:, 0%-SOC_NewMultiplexer_LastAttempt
Start date:, Tuesday, June 18, 2024
Start time:, 9:20:44 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.1476495, -0.0109831, , -0.0109831, 100000, 0.001298604, -0.001623618, -0.04879564, -0.1342517, 0.007577101, 0.01242691, 0.01455474, 58.62795, 2, 1
1, 0.1476495, -0.0109831, , -0.0109831, 79432.82, -0.0002466019, -0.001570215, -0.1125189, -0.06189504, 0.007575771, 0.009787792, 0.01237712, 52.26006, 2, 1
1, 0.1476495, -0.0109831, , -0.0109831, 63095.73, -6.603819e-05, 0.00127642, 0.07989394, 0.08717565, 0.007580596, 0.007704925, 0.01080885, 45.46602, 2, 1
1, 0.1476495, -0.0109831, , -0.0109831, 50118.72, 0.001066251, 0.0001952296, 0.09820786, -0.05262049, 0.007607818, 0.006064246, 0.009729027, 38.5586, 2, 1
2, 0.1502191, -0.0003484386, , -0.01133153, 39810.71, 0.0003076541, -0.0009138905, -0.02485898, -0.1041208, 0.00763646, 0.004777994, 0.009008038, 32.03347, 2, 1
2, 0.1502191, -0.0003484386, , -0.01133153, 31622.77, -0.0001103089, 0.0008896778, 0.03421853, 0.09876711, 0.007697003, 0.003783537, 0.008576655, 26.17687, 2, 1
2, 0.1502191, -0.0003484386, , -0.01133153, 25118.86, -0.0002077101, 0.0008282749, 0.01301115, 0.1020292, 0.007732653, 0.003021887, 0.008302151, 21.34534, 2, 1
2, 0.1502191, -0.0003484386, , -0.01133153, 19952.62, 0.0006602549, 0.0004952676, 0.09599553, 0.03378161, 0.007735596, 0.002437058, 0.008110406, 17.48676, 2, 1
3, 0.1500167, -0.03195439, , -0.04328593, 15848.93, -0.0004535735, -0.0006669108, -0.07590679, -0.06676959, 0.007725883, 0.001990029, 0.007978063, 14.44424, 2, 1
3, 0.1500167, -0.03195439, , -0.04328593, 12589.25, 0.0007639243, 0.0002131758, 0.1004319, 0.006257668, 0.007708715, 0.001642279, 0.007881711, 12.0266, 2, 1
3, 0.1500167, -0.03195439, , -0.04328593, 9999.997, 0.0007531082, -0.0002057064, 0.09063922, -0.04293664, 0.007664112, 0.001361054, 0.007784027, 10.07005, 2, 1
3, 0.1500167, -0.03195439, , -0.04328593, 7943.28, 0.0005601909, -0.0005296009, 0.06190009, -0.07866856, 0.007618367, 0.001126412, 0.00770119, 8.410522, 2, 1
4, 0.1502347, 0.001502431, , -0.0417835, 6309.571, -0.0005541101, 0.000522496, -0.06384394, 0.07690871, 0.007562914, 0.0009266027, 0.007619466, 6.985025, 2, 1
4, 0.1502347, 0.001502431, , -0.0417835, 5011.871, 0.0007348949, -0.0001647917, 0.09475462, -0.03142713, 0.007506808, 0.0007506303, 0.007544244, 5.710212, 2, 1
4, 0.1502347, 0.001502431, , -0.0417835, 3981.07, 1.633179e-05, 0.0007476997, 0.01004156, 0.09926709, 0.007472381, 0.0005913601, 0.007495744, 4.524926, 2, 1
4, 0.1502347, 0.001502431, , -0.0417835, 3162.276, -0.0005769466, -0.0004698366, -0.08095553, -0.05825298, 0.007446955, 0.0004450513, 0.007460242, 3.420092, 2, 1
5, 0.1502814, 0.003274874, , -0.03850862, 2511.885, -4.047863e-05, -0.000740673, -0.009748654, -0.09920992, 0.007434028, 0.0003224792, 0.007441019, 2.483865, 2, 1
