Experiment:, 0%-SOC_MovingClips
Start date:, Tuesday, June 18, 2024
Start time:, 6:25:39 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.1693745, 0.02065423, , 0.02065423, 100000, 0.0005914041, 0.001289681, 0.1224548, 0.0368937, 0.007336697, 0.008321466, 0.01109387, 48.59869, 2, 1
1, 0.1693745, 0.02065423, , 0.02065423, 79432.82, -0.000667755, -0.0009482691, -0.114227, -0.02759569, 0.007418449, 0.006509424, 0.009869447, 41.26579, 2, 1
1, 0.1693745, 0.02065423, , 0.02065423, 63095.73, -0.0005584504, 0.0008378283, 0.001023577, 0.1113764, 0.007475779, 0.005082784, 0.00904002, 34.21179, 2, 1
1, 0.1693745, 0.02065423, , 0.02065423, 50118.72, -8.902734e-05, 0.000910024, 0.04052855, 0.09926852, 0.007543714, 0.00397672, 0.008527715, 27.79626, 2, 1
2, 0.1706671, -0.0009601667, , 0.01969406, 39810.71, -0.0007343587, 0.000447417, -0.06185143, 0.08420643, 0.007612135, 0.003129657, 0.008230392, 22.34955, 2, 1
2, 0.1706671, -0.0009601667, , 0.01969406, 31622.77, -0.0008318928, 8.157498e-06, -0.09765417, 0.03253533, 0.007692695, 0.002479432, 0.008082396, 17.86465, 2, 1
2, 0.1706671, -0.0009601667, , 0.01969406, 25118.86, -0.0006632191, -0.0004719163, -0.09508783, -0.03652253, 0.007739284, 0.00199035, 0.007991121, 14.4225, 2, 1
2, 0.1706671, -0.0009601667, , 0.01969406, 19952.62, -0.0003774379, 0.0007053179, -0.02839877, 0.0970759, 0.007740609, 0.001623618, 0.007909056, 11.84624, 2, 1
3, 0.1706982, -0.001775804, , 0.01791826, 15848.93, 0.0007416516, -0.0002731721, 0.0871231, -0.05051026, 0.007731723, 0.001347051, 0.00784819, 9.883094, 2, 1
3, 0.1706982, -0.001775804, , 0.01791826, 12589.25, 0.0007607727, 0.0001825072, 0.09997895, 0.008967738, 0.007711027, 0.001133806, 0.007793937, 8.364661, 2, 1
3, 0.1706982, -0.001775804, , 0.01791826, 9999.997, -0.0006819676, -0.0003656751, -0.0934502, -0.03598721, 0.00766748, 0.0009603397, 0.007727386, 7.13903, 2, 1
3, 0.1706982, -0.001775804, , 0.01791826, 7943.28, -0.0005894934, 0.0004895734, -0.06976077, 0.0716548, 0.007619637, 0.000808623, 0.007662423, 6.057759, 2, 1
4, 0.1706359, -0.002214994, , 0.01570326, 6309.571, 0.0005016482, 0.0005687192, 0.07245351, 0.06877218, 0.00756161, 0.0006720289, 0.007591414, 5.078749, 2, 1
4, 0.1706359, -0.002214994, , 0.01570326, 5011.871, 0.000561966, 0.0004983174, 0.07927633, 0.06061213, 0.007506571, 0.0005465465, 0.007526441, 4.164305, 2, 1
4, 0.1706359, -0.002214994, , 0.01570326, 3981.07, -0.0005431732, 0.000512319, -0.06855289, 0.0724619, 0.007473167, 0.0004259618, 0.007485297, 3.262263, 2, 1
4, 0.1706359, -0.002214994, , 0.01570326, 3162.276, -0.000619761, -0.0004110122, -0.08540007, -0.05148853, 0.007450549, 0.0003207779, 0.007457451, 2.465305, 2, 1
5, 0.1706204, -0.0009915374, , 0.01471172, 2511.885, -0.000739597, -5.233433e-05, -0.0995934, -0.00408973, 0.007435205, 0.0002201587, 0.007438464, 1.69605, 2, 1
5, 0.1706204, -0.0009915374, , 0.01471172, 1995.261, 0.0003649854, 0.000646327, 0.05058118, 0.08588436, 0.007445788, 0.0001354305, 0.00744702, 1.042031, 2, 1
5, 0.1706204, -0.0009915374, , 0.01471172, 1584.892, 0.0005899107, -0.0004506118, 0.07867111, -0.06119174, 0.007447739, 6.518606e-05, 0.007448024, 0.5014664, 2, 1
5, 0.1706204, -0.0009915374, , 0.01471172, 1258.925, -0.000329085, 0.0006657808, -0.04419246, 0.08930102, 0.007453729, -3.511491e-06, 0.00745373, -0.02699234, 2, 1
6, 0.1706671, 0.004153253, , 0.01886498, 999.9994, -0.0005798585, 0.0004674335, -0.07810728, 0.06187342, 0.007474306, -6.366368e-05, 0.007474577, -0.4880149, 2, 1
6, 0.1706671, 0.004153253, , 0.01886498, 794.3277, 0.0004385303, -0.0006050376, 0.05975336, -0.07974578, 0.00749788, -0.000119044, 0.007498825, -0.9096098, 2, 1
6, 0.1706671, 0.004153253, , 0.01886498, 630.9569, -0.0006533301, -0.0003679548, -0.08572419, -0.05075734, 0.007524737, -0.0001630915, 0.007526504, -1.241637, 2, 1
6, 0.1706671, 0.004153253, , 0.01886498, 501.1869, 0.0006981743, -0.0002851109, 0.09324598, -0.03508328, 0.007566717, -0.0002106868, 0.007569649, -1.594925, 2, 1
6, 0.1706671, 0.004153253, , 0.01886498, 398.1069, 0.0003614865, -0.0006656246, 0.05035462, -0.08597881, 0.007597961, -0.0002454788, 0.007601925, -1.850498, 2, 1
6, 0.1706671, 0.004153253, , 0.01886498, 316.2275, -0.0004978646, 0.0005745261, -0.06802908, 0.07277676, 0.007625783, -0.0002873229, 0.007631194, -2.157759, 2, 1
7, 0.1706515, -0.000787628, , 0.01807735, 251.1884, -0.0006249636, -0.0004412527, -0.07887758, -0.06086178, 0.007672009, -0.0003255599, 0.007678913, -2.429875, 2, 1
7, 0.1706515, -0.000787628, , 0.01807735, 199.5261, -0.0004355708, -0.0006352959, -0.05221577, -0.08485923, 0.00772136, -0.0003817382, 0.007730791, -2.830355, 2, 1
7, 0.1706515, -0.000787628, , 0.01807735, 158.4892, -0.0007682852, 0.0001048297, -0.09930477, 0.007825864, 0.007771566, -0.0004431864, 0.007784192, -3.263852, 2, 1
7, 0.1706515, -0.000787628, , 0.01807735, 125.8924, 0.0003827875, 0.0006810178, 0.04336099, 0.08969896, 0.007826316, -0.0004841823, 0.007841279, -3.540145, 2, 1
7, 0.1706515, -0.000787628, , 0.01807735, 99.99991, 2.235781e-05, 0.0007863385, -0.004028035, 0.09956025, 0.007876139, -0.0005432206, 0.00789485, -3.945465, 2, 1
