Experiment:, 0%-SOC_NewMultiplexer
Start date:, Tuesday, June 18, 2024
Start time:, 8:05:51 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.1237443, 0.01074109, , 0.01074109, 100000, 0.0005218871, 0.001124717, 0.1167881, 0.0816615, 0.007523925, 0.004369473, 0.008700674, 30.14562, 2, 1
1, 0.1237443, 0.01074109, , 0.01074109, 79432.82, 0.0004804385, 0.0009443343, 0.09986208, 0.08045115, 0.007537349, 0.003384126, 0.0082622, 24.17917, 2, 1
1, 0.1237443, 0.01074109, , 0.01074109, 63095.73, 0.0008913182, -0.000310274, 0.09278221, -0.07314131, 0.007550573, 0.002608094, 0.007988323, 19.05577, 2, 1
1, 0.1237443, 0.01074109, , 0.01074109, 50118.72, 3.667113e-05, -0.0008738434, -0.02407151, -0.1087264, 0.007590364, 0.002017749, 0.007853976, 14.88667, 2, 1
2, 0.1253951, -0.0001445292, , 0.01059656, 39810.71, -0.0005591809, 0.0006202325, -0.05415587, 0.09229694, 0.007643353, 0.001573708, 0.007803679, 11.63419, 2, 1
2, 0.1253951, -0.0001445292, , 0.01059656, 31622.77, -0.0004951917, 0.0006485832, -0.04939752, 0.09209266, 0.00770897, 0.001242094, 0.007808394, 9.153013, 2, 1
2, 0.1253951, -0.0001445292, , 0.01059656, 25118.86, 0.0007240579, -0.0003486652, 0.08613791, -0.05618552, 0.007749101, 0.001006781, 0.007814229, 7.402536, 2, 1
2, 0.1253951, -0.0001445292, , 0.01059656, 19952.62, 0.0004058408, -0.0006813605, 0.04234865, -0.09253013, 0.007748081, 0.0008399431, 0.007793476, 6.187079, 2, 1
3, 0.1254574, 0.002459237, , 0.0130558, 15848.93, 0.0007416132, 0.0002594525, 0.0981103, 0.02435736, 0.007738542, 0.0007232887, 0.00777227, 5.339681, 2, 1
3, 0.1254574, 0.002459237, , 0.0130558, 12589.25, 0.0005972182, 0.0005005848, 0.08218502, 0.0580553, 0.007718081, 0.0006389159, 0.007744481, 4.732253, 2, 1
3, 0.1254574, 0.002459237, , 0.0130558, 9999.997, 0.0007233144, 0.0002690507, 0.09632453, 0.02793116, 0.00767384, 0.0005679911, 0.007694832, 4.233116, 2, 1
3, 0.1254574, 0.002459237, , 0.0130558, 7943.28, 0.0006150837, 0.0004551851, 0.08416518, 0.05418443, 0.007628207, 0.0004972966, 0.0076444, 3.729938, 2, 1
4, 0.1253951, -0.001932658, , 0.01112314, 6309.571, -0.0005759199, 0.0004927847, -0.0721483, 0.06917796, 0.007570987, 0.0004291259, 0.007583138, 3.244072, 2, 1
4, 0.1253951, -0.001932658, , 0.01112314, 5011.871, 0.0003456121, -0.0006662219, 0.04176335, -0.09067447, 0.007509829, 0.0003526511, 0.007518104, 2.688555, 2, 1
4, 0.1253951, -0.001932658, , 0.01112314, 3981.07, 5.06992e-05, 0.000744865, 0.01046538, 0.09922273, 0.007477706, 0.0002777368, 0.007482862, 2.127101, 2, 1
4, 0.1253951, -0.001932658, , 0.01112314, 3162.276, -0.0005238057, 0.0005275229, -0.06834386, 0.07263221, 0.007451404, 0.0002002964, 0.007454096, 1.53976, 2, 1
5, 0.1254418, 0.003165077, , 0.01428822, 2511.885, -3.323169e-05, 0.0007403247, -0.002740937, 0.09964877, 0.007432891, 0.0001290393, 0.007434011, 0.9945879, 2, 1
5, 0.1254418, 0.003165077, , 0.01428822, 1995.261, 0.000508385, -0.0005403074, 0.06765945, -0.07320245, 0.00744222, 6.623336e-05, 0.007442514, 0.5099005, 2, 1
5, 0.1254418, 0.003165077, , 0.01428822, 1584.892, -0.0002764514, -0.0006888337, -0.03721679, -0.09246376, 0.007446753, 7.493285e-06, 0.007446757, 0.05765378, 2, 1
5, 0.1254418, 0.003165077, , 0.01428822, 1258.925, 0.0006833328, 0.0002898808, 0.091504, 0.03944219, 0.007449259, -4.299487e-05, 0.007449383, -0.3306902, 2, 1
6, 0.1253951, -0.005806936, , 0.008481285, 999.9994, 0.0004936792, 0.0005576069, 0.06505311, 0.07548061, 0.007473276, -9.961952e-05, 0.00747394, -0.7637132, 2, 1
6, 0.1253951, -0.005806936, , 0.008481285, 794.3277, -0.0005405699, -0.0005143267, -0.0708518, -0.07007576, 0.007486181, -0.0001449945, 0.007487585, -1.109582, 2, 1
6, 0.1253951, -0.005806936, , 0.008481285, 630.9569, -0.0003840621, 0.0006434271, -0.05301651, 0.08434869, 0.007519443, -0.000173002, 0.007521432, -1.317988, 2, 1
6, 0.1253951, -0.005806936, , 0.008481285, 501.1869, -0.0004992973, -0.0005635965, -0.06382995, -0.07649411, 0.00755439, -0.0002235597, 0.007557697, -1.69508, 2, 1
6, 0.1253951, -0.005806936, , 0.008481285, 398.1069, -0.0007131677, -0.0002511021, -0.0928087, -0.03624647, 0.007584138, -0.0002564005, 0.007588471, -1.936288, 2, 1
6, 0.1253951, -0.005806936, , 0.008481285, 316.2275, 0.0007016378, 0.000291667, 0.09035188, 0.04196064, 0.007621082, -0.0003112114, 0.007627434, -2.338408, 2, 1
6, 0.1253951, -0.005806936, , 0.008481285, 251.1884, -0.0004023907, 0.0006501274, -0.05612737, 0.08231563, 0.007666701, -0.0003391951, 0.0076742, -2.533265, 2, 1
7, 0.1254729, 4.369486e-05, , 0.008524979, 199.5261, -0.0006044793, 0.0004761367, -0.08129901, 0.05760342, 0.007712844, -0.0003917698, 0.007722788, -2.90781, 2, 1
