Experiment:, 0%-SOC_NewMultiplexer_LastAttemptAgain
Start date:, Tuesday, June 18, 2024
Start time:, 11:55:19 PM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.3200312, -0.01093604, , -0.01093604, 100000, 0.001456343, 0.0008454857, 0.1019695, -0.05493286, 0.0076075, 0.01238986, 0.014539, 58.44965, 1, 1
1, 0.3200312, -0.01093604, , -0.01093604, 79432.82, 0.0006122986, 0.001121527, 0.1020075, 0.01662212, 0.007592444, 0.009757358, 0.0123633, 52.11262, 1, 1
1, 0.3200312, -0.01093604, , -0.01093604, 63095.73, 0.001018552, 8.188225e-05, 0.07183157, -0.06188179, 0.007575505, 0.007666101, 0.01077763, 45.34056, 1, 1
1, 0.3200312, -0.01093604, , -0.01093604, 50118.72, 0.0008011914, -0.0003256515, 0.04382696, -0.07768962, 0.007592998, 0.006029292, 0.009695668, 38.45167, 1, 1
2, 0.3212779, -0.001085649, , -0.01202169, 39810.71, 0.0007633815, 0.0001138276, 0.07867357, -0.03408429, 0.007641974, 0.004757619, 0.009001928, 31.90491, 1, 1
2, 0.3212779, -0.001085649, , -0.01202169, 31622.77, 0.0001027484, 0.0007103037, 0.04716881, 0.06914029, 0.007702354, 0.003768606, 0.008574885, 26.07157, 1, 1
2, 0.3212779, -0.001085649, , -0.01202169, 25118.86, -0.0005162718, -0.000448455, -0.07751256, -0.02780972, 0.007739933, 0.003008669, 0.008304135, 21.24211, 1, 1
2, 0.3212779, -0.001085649, , -0.01202169, 19952.62, 0.0003494981, 0.0005608458, 0.06179657, 0.05309349, 0.007739846, 0.002425869, 0.008111107, 17.40235, 1, 1
3, 0.3215896, 0.02674014, , 0.01471845, 15848.93, 0.0005361615, -0.0003606185, 0.0538484, -0.06041975, 0.007734107, 0.001981011, 0.007983784, 14.36685, 1, 1
3, 0.3215896, 0.02674014, , 0.01471845, 12589.25, 0.0005218152, -0.0003616151, 0.0552473, -0.05862284, 0.007709747, 0.001635413, 0.007881292, 11.97622, 1, 1
3, 0.3215896, 0.02674014, , 0.01471845, 9999.997, 0.0006000684, -0.000176158, 0.07192656, -0.03567344, 0.007670622, 0.001355264, 0.007789428, 10.01975, 1, 1
3, 0.3215896, 0.02674014, , 0.01471845, 7943.28, -0.0002674228, -0.0005567619, -0.04480938, -0.0664345, 0.007626229, 0.001118452, 0.007707808, 8.34344, 1, 1
4, 0.3214337, -0.0005209773, , 0.01419747, 6309.571, -0.0001452764, 0.0005928795, -0.009540933, 0.07944531, 0.007573122, 0.000919145, 0.007628696, 6.920106, 1, 1
4, 0.3214337, -0.0005209773, , 0.01419747, 5011.871, -0.0005221488, 0.0003028685, -0.06484752, 0.04670193, 0.007516843, 0.0007430136, 0.007553476, 5.645149, 1, 1
4, 0.3214337, -0.0005209773, , 0.01419747, 3981.07, 0.0005937999, -8.058464e-05, 0.07807273, -0.01683319, 0.007480524, 0.0005806944, 0.007503029, 4.438827, 1, 1
4, 0.3214337, -0.0005209773, , 0.01419747, 3162.276, 6.919896e-05, 0.0005927109, 0.01387799, 0.07861908, 0.00746188, 0.0004370051, 0.007474666, 3.351699, 1, 1
5, 0.3217454, 0.0006867936, , 0.01488426, 2511.885, 0.0005754703, 0.0001511207, 0.07796863, 0.01699094, 0.007449404, 0.0003148486, 0.007456054, 2.420162, 1, 1
5, 0.3217454, 0.0006867936, , 0.01488426, 1995.261, -0.0001261401, -0.0005815268, -0.01918383, -0.07745139, 0.007454353, 0.0002177224, 0.007457532, 1.672986, 1, 1
5, 0.3217454, 0.0006867936, , 0.01488426, 1584.892, -0.0004911943, 0.000336859, -0.06508296, 0.0461525, 0.007464093, 0.0001171979, 0.007465013, 0.8995588, 1, 1
5, 0.3217454, 0.0006867936, , 0.01488426, 1258.925, 0.0002148318, -0.0005548833, 0.02833724, -0.07455768, 0.00745987, 4.613365e-05, 0.007460013, 0.3543265, 1, 1
6, 0.3217454, 0.001690655, , 0.01657492, 999.9994, 0.0005032363, -0.0003222234, 0.06733479, -0.04276054, 0.007491429, -2.800671e-05, 0.007491482, -0.2141992, 1, 1
6, 0.3217454, 0.001690655, , 0.01657492, 794.3277, -0.0004890015, 0.0003458505, -0.06567915, 0.04527187, 0.007507827, -9.070153e-05, 0.007508375, -0.6921526, 1, 1
