SOC,Frequency_Hz,Real_Z_Ohm,Imag_Z_Ohm
0,100000,0.0076075,0.01238986
0,79432.82,0.007592444,0.009757358
0,63095.73,0.007575505,0.007666101
0,50118.72,0.007592998,0.006029292
0,39810.71,0.007641974,0.004757619
0,31622.77,0.007702354,0.003768606
0,25118.86,0.007739933,0.003008669
0,19952.62,0.007739846,0.002425869
0,15848.93,0.007734107,0.001981011
0,12589.25,0.007709747,0.001635413
0,9999.997,0.007670622,0.001355264
0,7943.28,0.007626229,0.001118452
0,6309.571,0.007573122,0.000919145
0,5011.871,0.007516843,0.0007430136
0,3981.07,0.007480524,0.0005806944
0,3162.276,0.00746188,0.0004370051
0,2511.885,0.007449404,0.0003148486
0,1995.261,0.007454353,0.0002177224
0,1584.892,0.007464093,0.0001171979
0,1258.925,0.00745987,4.613365e-05
0,999.9994,0.007491429,-2.800671e-05
0,794.3277,0.007507827,-9.070153e-05
0,630.9569,0.007537049,-0.000136804
0,501.1869,0.007578669,-0.0001798671
0,398.1069,0.007609953,-0.0002374256
0,316.2275,0.007640499,-0.0002762611
0,251.1884,0.00770073,-0.0003265678
0,199.5261,0.00772692,-0.0003634977
0,158.4892,0.007789803,-0.0004208701
0,125.8924,0.007841614,-0.0004846404
0,99.99991,0.00789707,-0.0005510715
0,79.43275,0.007957344,-0.000608972
0,63.09567,0.008017823,-0.0006828383
0,50.11867,0.008114467,-0.0007554704
0,39.81068,0.008221728,-0.0008348283
0,31.62274,0.008347532,-0.0009213894
0,25.11884,0.008467904,-0.001050961
0,19.9526,0.008565213,-0.001124557
0,15.84891,0.008725829,-0.001231811
0,12.58924,0.008903209,-0.001431169
0,9.999988,0.009012596,-0.001523883
0,7.943272,0.009253443,-0.001676323
0,6.309565,0.009415208,-0.001863771
0,5.011866,0.00965087,-0.00205414
0,3.981066,0.009819972,-0.002242422
0,3.162273,0.01005963,-0.002530081
0,2.511883,0.01021027,-0.002905837
0,1.995259,0.01037496,-0.003337678
0,1.584891,0.01056208,-0.003842809
0,1.258924,0.01073859,-0.00451562
0,0.999998,0.01096206,-0.005410766
0,0.794327,0.01116048,-0.006469345
0,0.630956,0.01141597,-0.007813946
0,0.501186,0.01163209,-0.009443275
0,0.398106,0.01183735,-0.01148144
0,0.316227,0.01207705,-0.01408615
0,0.251188,0.01227828,-0.01732528
0,0.199526,0.01240996,-0.02147894
0,0.158489,0.01254685,-0.02663094
0,0.125892,0.01263474,-0.03319843
0,0.1,0.01275202,-0.04151306
0,0.079433,0.01287549,-0.05202016
0,0.063096,0.01303559,-0.06530719
0,0.050119,0.01317422,-0.08192047
0,0.039811,0.0133653,-0.102973
0,0.031623,0.01365029,-0.1292988
0,0.025119,0.01399568,-0.1624581
0,0.019953,0.01449765,-0.2041565
0,0.015849,0.01520888,-0.25651
0,0.015,0.01548448,-0.2708789
100,100000,0.007885026,0.01134565
100,79432.82,0.007804933,0.008938778
100,63095.73,0.007738538,0.007026453
100,50118.72,0.00773513,0.005531744
100,39810.71,0.007750162,0.004360273
100,31622.77,0.007797244,0.003445462
100,25118.86,0.007822766,0.002746638
100,19952.62,0.007817374,0.00220288
100,15848.93,0.007806183,0.001786761
100,12589.25,0.007788995,0.001458586
100,9999.997,0.007758121,0.001183824
100,7943.28,0.007725927,0.0009600961
100,6309.571,0.007693694,0.0007662154
100,5011.871,0.007660751,0.0006001493
100,3981.07,0.007646016,0.0004531517
100,3162.276,0.00763454,0.0003173375
100,2511.885,0.00765742,0.0002231222
100,1995.261,0.007650917,0.0001461946
100,1584.892,0.007689392,5.626823e-05
100,1258.925,0.007691622,-1.625822e-05
100,999.9994,0.0077172,-6.191996e-05
100,794.3277,0.00777179,-0.0001128064
100,630.9569,0.00777763,-0.0001593985
100,501.1869,0.007797619,-0.0001875972
100,398.1069,0.00783217,-0.0002237412
